stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,heart,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle
  3-4,52.71,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,36.78,324.87,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,12.26,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,21,0,0,0,1,13,0,1,6,1,0,8,0,56,0
 24-34,0,0,0,0,0,0,22.98,0,0,0,0,8.21,0,1.64,2.46,0,0,11.49,0,40.22,0
 36-46,0,0,0,0,0,0,11.28,0,0,0.81,0.81,5.64,0,3.22,1.61,0,0,7.25,0,22.56,0
 48-58,0,0,0,0,0,0,14.35,0,0,1.15,0.57,7.46,0,4.02,0.57,0,0,1.72,0,16.64,0
 60-70,0,0,0,0,0,0,19.63,0,0,0,0,6.87,0,2.94,2.94,0,0,0.98,0,11.78,0
 72-82,0,0,0.98,0,0,0.98,26.5,0,0,0,0,4.91,0,8.83,3.93,0,0,0.98,0,5.89,0.98
 84-94,0,0,1.06,1.06,1.06,3.19,12.74,1.06,0,1.06,0,2.12,0,4.25,4.25,0,1.06,1.06,0,7.43,0
 96-106,0,0,0,0,0,2.19,15.3,0,1.09,5.46,0,4.37,0,6.56,7.65,0,0,1.09,0,8.74,0
108-118,0,0,0,0,1.53,2.3,17.62,0,0,0.77,0.77,3.83,0,6.89,4.6,0,0,2.3,0.77,4.6,0
120,0,0,0,0,0,0,11.76,0,0,5.88,0,0,0,3.92,7.84,0,0,1.96,0,1.96,0
