stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0
 24-34,0,0,0,0,4.93,0.82,0,3.28,0,0,0,0,0,0.82,0.82,0,0,0,2.46,3.28,18.88,0,0,0.82,0,10.67,0,0,0.82,0.82,0.82
 36-46,0,0,0.81,0,0.81,2.42,0,1.61,0.81,0,0,0,0,0,3.22,0,0,0,1.61,0,6.45,0.81,0,0,0,8.86,0,1.61,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,1.72,1.72,0.57,1.15,0,0,0,0,0,0,0,0.57,0,3.44,0,0.57,0,0,0.57,0,0,0,1.15,0.57
 60-70,0,0,0,0,2.94,1.96,0,7.85,0,1.96,1.96,1.96,0,0,0,0.98,0,0,2.94,0.98,6.87,0.98,0.98,0,0,14.72,0.98,0.98,0,2.94,0.98
 72-82,0,0,0,0,0,0,0,2.94,0,0,1.96,0.98,0,0,0,0,0,0.98,5.89,0.98,8.83,0.98,0,0,0,8.83,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,2.12,0,0,1.06,0,0,0,0,1.06,0,0,3.19,0,2.12,0,0,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,3.83,0,0,2.3,0,0,0.77,0.77,0,0,0.77,0.77,0,2.3,0.77,0,3.06,0,0,0.77,0,3.06,0,0.77,0,0,0.77
120,0,0,0,0,1.96,0,1.96,5.88,0,1.96,1.96,3.92,0,0,1.96,0,1.96,0,1.96,0,11.76,0,1.96,0,0,3.92,0,3.92,0,0,0
