stage,axial,blastomeres,eye,glial,gut,mesenchyme,neural,otic,periderm,pronephros,somites,spinal_cord
  3-4,52.71,751.14,0,0,0,0,0,0,39.53,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,0.57
 60-70,0,0,1.96,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,3.19,1.06,0,0,0
 96-106,0,0,1.09,1.09,0,0,2.19,1.09,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0
