stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1067.41,27594.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.15,0,0,0,0,0,0,0,0,0,0
  5-6,1054.3,30108.77,36.78,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,962.35,12.26,0,0,288.09,0,845.89,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,354.88,628.26,0,5.26,0,281.27,0,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,11487.48,165.61,0,0,5580.76,0,78.86,60.46,0,10.51,0,0,0,0,0,0,0
 10-12,3.15,151.05,481.49,0,37.76,0,91.26,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,4685.84,204.55,0,0,4050.15,0,37.76,50.35,3.15,371.34,0,9.44,6.29,0,0,0,0
 14-21,0,1,1,743,22,0,40,0,21,0,0,6,4,2,0,11,1,0,1,5,97,1,0,49,263,53,0,3,348,0,84,5,848,5,216,327,148,0,1,0,0
 24-34,0,0,0,96.86,0,0,32.01,4.1,50.07,16.42,4.93,3.28,0,0.82,1.64,1.64,0,0,0,9.03,73.88,0.82,0.82,52.53,411.25,12.31,0.82,4.1,0,0.82,26.27,1.64,0,0,72.24,84.55,45.97,0,3.28,0,6.57
 36-46,0,0,0,13.7,0,0,11.28,4.83,14.5,31.42,9.67,4.03,0,2.42,2.42,0,1.61,0,0,0.81,52.37,0.81,0.81,33.03,242.51,1.61,0,4.03,0,0,7.25,0.81,0,0,8.86,0,29,0,1.61,0,3.22
 48-58,0,0,0,5.16,0,0,8.03,4.02,9.75,39.02,17.21,0.57,0,0,2.87,0,0.57,0,0.57,5.16,51.64,1.72,0,16.64,95.25,0.57,0,1.72,0,0,2.87,0,0,0,2.3,0,12.05,0,1.15,0,4.02
 60-70,0,0,0,2.94,0,0,8.83,2.94,6.87,49.08,11.78,0,0,0,6.87,0,0,0,0,4.91,30.43,0,0,12.76,29.45,0,0,0.98,0,0,2.94,0,0,0,1.96,0,5.89,0,0.98,0,9.82
 72-82,0,0,0,6.87,0.98,0,13.74,2.94,6.87,56.94,25.52,0,0,0,7.85,0,0.98,0,0.98,4.91,40.25,0,0,11.78,27.49,0,1.96,0.98,0,0,0.98,0,0,0,0,0,0,0,2.94,0.98,6.87
 84-94,0,0,0,5.31,0,0,12.74,0,5.31,37.17,10.62,3.19,0,0,12.74,0,1.06,0,0,1.06,33.99,0,1.06,9.56,18.05,0,0,2.12,0,0,3.19,0,0,0,0,0,0,0,2.12,1.06,9.56
 96-106,0,0,0,6.56,1.09,0,8.74,0,2.19,38.25,32.79,1.09,0,0,33.88,0,0,1.09,0,4.37,28.41,0,0,8.74,20.76,0,0,2.19,0,0,3.28,0,0,0,0,0,0,3.28,0,2.19,14.21
108-118,0,0,0,3.83,0.77,0,11.49,2.3,6.13,48.26,16.09,1.53,0,0,22.98,0.77,0,0,0,4.6,19.92,0.77,0,9.19,21.45,0,0.77,1.53,0,0,0.77,0,0,0,0,0,0,0,0.77,0,7.66
120,0,0,0,3.92,0,1.96,3.92,0,5.88,43.12,27.44,1.96,0,0,21.56,0,1.96,0,0,3.92,17.64,1.96,0,5.88,17.64,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96
