stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,4,0,0,5,0,1,0,0,0,21,0,0,5,0,0,0
 24-34,0,0,3.28,0.82,0,0,2.46,0,0,0,0,0,0,98.5,0,0,0,1.64,14.78,0,2.46,34.48,0,27.91,2.46,0,0,80.44,0.82,0.82,4.93,0,4.93,1.64
 36-46,0,0,0.81,0,0,3.22,0,0,0,0,0,0.81,0,28.2,0,0.81,0,8.86,4.83,0,0.81,48.34,0,36.26,4.83,0,0,58.81,0,0,3.22,0,2.42,0
 48-58,0,0,2.87,0,0,4.02,0.57,0,1.15,0,0,0,1.72,13.77,0,2.3,0,6.31,2.87,0,0.57,28.12,0,16.64,1.15,0,0,43.04,0,0,1.15,0,1.72,0.57
 60-70,0,0,3.93,0,0,3.93,1.96,0,3.93,0,0,0,1.96,23.56,0,6.87,0,0.98,2.94,0,0.98,38.28,0,18.65,1.96,0,0,67.73,0.98,0,4.91,0,0,0
 72-82,0,0,3.93,0,0,6.87,0,0.98,5.89,0,0.98,0,3.93,47.12,0.98,8.83,0.98,3.93,0.98,0,0.98,23.56,0,23.56,4.91,0,0,68.72,0.98,0,0,7.85,1.96,1.96
 84-94,0,0,12.74,0,0,4.25,0,1.06,2.12,2.12,0,0,8.5,89.21,0,7.43,0,5.31,5.31,1.06,0,14.87,0,20.18,5.31,0,0,198.6,1.06,0,0,5.31,0,0
 96-106,0,0,19.67,0,0,12.02,5.46,0,2.19,3.28,0,0,8.74,89.61,0,16.39,2.19,6.56,1.09,0,0,9.84,0,25.14,3.28,0,0,103.82,1.09,0,0,13.11,1.09,0
108-118,0,0,13.02,0,0.77,5.36,3.83,0.77,2.3,4.6,0,0,6.13,72,0,9.19,0.77,3.06,4.6,0,1.53,15.32,0,10.72,9.96,0,0,85.79,0.77,0,1.53,15.32,0,0
120,0,0,23.52,0,0,3.92,3.92,0,1.96,0,0,0,15.68,39.2,0,13.72,0,0,3.92,0,3.92,17.64,1.96,17.64,5.88,0,1.96,74.47,0,0,0,5.88,1.96,0
