stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,30.65,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,0,13.14,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,233.96,5.26,0,0,102.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,62.94,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,16,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1,39,0,0,0,0,0,0,8,2,0,10,8,0,0,0,0
 24-34,0,0,0,1.64,7.39,3.28,0,4.93,0,0,0.82,2.46,0,0,0.82,0,0.82,0,0,0,0,4.1,0,0.82,46.79,0,0.82,3.28,0,0,6.57,0,0,0,0,9.85,0,0.82,0,0
 36-46,0,0,0,0,4.83,0,0,12.89,0,0,0,2.42,0.81,0,0,0,0,0.81,0.81,0.81,0.81,4.03,0,0.81,32.23,0,4.03,0,0,0,8.06,0,0,0.81,0,8.86,0,1.61,0,0
 48-58,0,0,0,0,6.89,0,0,13.77,0,0.57,0,3.44,1.15,0.57,0,0,0.57,0.57,0.57,0.57,0,4.59,0,1.72,26.97,0.57,1.15,1.15,0,0,2.87,0,0,0,0,2.87,0,0.57,0,0.57
 60-70,0,0,0,0,9.82,0,0,10.8,0.98,0.98,0.98,0.98,0.98,0,0,0,0.98,0.98,0,0.98,0,1.96,0,0.98,19.63,0,0,0.98,0,0,9.82,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,3.93,1.96,0,17.67,0,0,0,4.91,0.98,0,0,0.98,0.98,0,0.98,0,0,8.83,0,0,34.36,0,3.93,3.93,0,0,9.82,0,0.98,0,0,3.93,0.98,2.94,0.98,0
 84-94,0,0,0,0,15.93,1.06,0,9.56,0,1.06,0,2.12,2.12,0,0,0,6.37,0,2.12,5.31,0,8.5,0,0,13.81,0,0,1.06,0,0,28.68,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,2.19,0,7.65,0,0,3.28,0,0,0,3.28,0,0,0,1.09,1.09,0,1.09,0,0,4.37,0,0,5.46,0,0,2.19,0,0,13.11,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,0,13.02,0,1.53,3.83,0,3.06,0,2.3,1.53,0,0,0.77,0.77,0,0,1.53,0,3.06,0.77,3.06,11.49,1.53,2.3,3.83,0,0,9.96,0,0.77,0,0,0.77,3.83,0.77,0,1.53
120,0,0,0,0,21.56,0,0,5.88,0,1.96,0,3.92,5.88,0,0,0,3.92,0,0,0,0,9.8,1.96,0,13.72,0,0,0,0,1.96,11.76,0,0,0,0,0,0,1.96,0,0
