stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,579.83,10002.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,0,0,0,0,0,0,0
  5-6,698.78,8385.34,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,183.89,12.26,0,0,85.81,0,208.41,0,0,0,0,0,0,0
  7-9,97.26,92,157.72,0,0,278.64,0,0,0,0,115.66,0,0,0,0,0,2694.43,113.03,0,0,1069.89,0,2.63,18.4,0,0,0,0,0,0
 10-12,0,59.79,78.67,0,6.29,147.91,0,0,0,0,37.76,0,0,0,0,0,1057.38,59.79,0,0,531.84,0,6.29,6.29,3.15,56.65,0,3.15,0,0
 14-21,0,0,10,131,43,37,0,0,7,8,6,0,3,3,43,39,332,36,3,6,16,0,13,3,82,10,15,107,104,2
 24-34,0,0,0,3.28,3.28,6.57,0,0,0,0,0,0,0,1.64,3.28,4.93,27.09,4.93,0,0,0,0,20.52,0,0,0,0,2.46,5.75,9.03
 36-46,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0.81,1.61,0.81,0.81,0.81,0,0,0,0,7.25,0,0,0,0,0,0,4.03
 48-58,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0,0,0,4.59,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,0.98,0.98,11.78,0,0,0,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,14.72,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,2.94,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,0,22.3,0,0,1.06,0,0,0,0,0,2.12,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,15.3,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,5.36,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
