stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,12,3,1,0,0,1,3,1,2,3,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0.82,0.82,3.28,0.82,25.45,0,0,0,0,2.46,0,0,1.64,7.39,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,3.22,0,0,0,0,0,0,0,0,0,0.81,2.42,0,23.36,0.81,0,0,0,0.81,0,0.81,0,7.25,0,2.42,0,0
 48-58,0,0,0,0,0,0,8.03,0,0.57,3.44,0.57,0,0.57,0.57,0,0,0,5.16,0.57,30.99,0,0.57,1.15,0,0,0,0,0,6.31,0,0,0,1.15
 60-70,0,0,0,0,0,0,9.82,0,0,3.93,0,0,0,0,0,0,0,3.93,0.98,23.56,0,0,0,0,1.96,0,0,0,2.94,0,0,0,0.98
 72-82,0,0,0,0,0,0,15.71,0,0.98,11.78,0,0,0,0,0.98,0,0,2.94,0,35.34,0,0,0,0,0,0,0.98,0,2.94,0,1.96,1.96,0
 84-94,0,0,0,0,1.06,2.12,16.99,0,0,2.12,0,0,0,1.06,0,0,1.06,5.31,0,20.18,0,0,0,0,2.12,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,4.37,0,8.74,0,0,2.19,0,1.09,2.19,1.09,1.09,0,1.09,3.28,1.09,14.21,0,0,0,0,2.19,0,0,0,1.09,0,0,0,3.28
108-118,0,0,0.77,0,1.53,1.53,11.49,0.77,0,3.83,0,0,0,0.77,0,0.77,0.77,4.6,1.53,8.43,0,0,0.77,0,2.3,0,0,0,0,1.53,0.77,0,0
120,0,0,0,0,1.96,1.96,1.96,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,17.64,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96,0,0
