stage,blastomeres,eye,glial,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,vasculature
  3-4,131.78,0,0,0,0,0,0,0,13.18,0
  5-6,42.91,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0
 60-70,0,0.98,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06
108-118,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0
