stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,18.88,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,3,0,1,5,0,0,0,2,3,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,6.57,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,1.61,0,0.81,4.03,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,3.44,1.15,0,0,0,0,0,0.57,5.74,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,3.93,0.98,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0.98,0.98,0,0.98,0.98,0.98,0,0,2.94,0,0,0.98,0,0,0.98,0.98,0
 84-94,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0,0.77,0.77,0.77,2.3,0,1.53,0,0,0,1.53,0,0
120,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
