stage,blastomeres,endoderm,eye,glial,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,18.88,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,1,0,1,2,3,0,1
 24-34,0,0,0,0,0,0.82,0.82,1.64,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,1.15,0.57,1.72,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0,1.53,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
