stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,18.4,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,12.59,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,1,3,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,29,7,0,0,0,13,0,1,0,6,8,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,4.1,0,0,0,0.82,2.46,0,0,0,9.85,0,2.46,0,0,2.46,0.82,0,13.13,0,1.64,2.46,0,55.82,0,14.78,0,2.46,6.57,0,0,1.64,0,0
 36-46,0,0,1.61,0.81,0,3.22,0,1.61,0,0.81,0,0,0.81,0,4.83,0,0,0,0,1.61,2.42,0,8.86,0,3.22,0.81,0,67.68,0,6.45,0,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0.57,1.15,2.3,0,2.3,0,0.57,0,0,2.3,0.57,0,0,0.57,4.59,0.57,1.15,17.21,0,1.72,2.87,0,35,0,4.02,0,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,9.82,0,0.98,0,2.94,0,0.98,0,1.96,5.89,0,1.96,0,0,4.91,4.91,0.98,15.7,0,1.96,3.93,0,60.85,0,3.93,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,7.85,0,22.58,0.98,0.98,0.98,4.91,3.93,0,0,0.98,6.87,0.98,2.94,0,0,12.76,2.94,0.98,14.72,0,2.94,6.87,0,47.12,0,13.74,0,0,0,1.96,0.98,0.98,0.98,0
 84-94,0,0,0,9.56,1.06,13.81,0,4.25,0,4.25,6.37,1.06,0,0,6.37,0,3.19,0,0,6.37,6.37,0,13.81,0,1.06,4.25,0,148.69,0,29.74,1.06,0,2.12,4.25,0,1.06,0,0
 96-106,0,0,0,8.74,0,40.44,3.28,1.09,1.09,5.46,17.49,1.09,0,0,8.74,0,3.28,0,0,14.21,6.56,0,17.49,0,2.19,3.28,0,128.96,0,15.3,0,0,2.19,5.46,0,1.09,0,0
108-118,0,0,0,18.38,0,34.47,3.06,0,0,5.36,12.26,0,0,0.77,12.26,0,2.3,0.77,0,21.45,5.36,0,17.62,0,0.77,3.83,0,83.49,0,15.32,0,0,0.77,3.06,0,0,0,0
120,0,0,0,19.6,0,25.48,3.92,1.96,0,3.92,21.56,0,0,1.96,13.72,0,1.96,0,0,7.84,3.92,0,19.6,0,0,7.84,0,62.71,0,23.52,0,0,1.96,1.96,3.92,3.92,0,0
