stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,8,0,14,0,0,0,9,0,0,0,0,0,0,0,0,0,14,0,0,14,308,43,0,2,4,0,0,0,12,2,8,165,0,0,1,0,0
 24-34,0,0,1.64,0,1.64,0,73.06,0,0,0,10.67,0,0,0,0,0,0,0,0,0,12.31,0,0,4.1,756.83,1.64,1.64,2.46,0,0,0.82,0.82,0,0,0.82,247.08,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,216.73,0.81,0,0,14.5,0,0,0,0,0,0,0,0,0,11.28,0,0,1.61,1222.2,0,3.22,0.81,0,0,0.81,0,0,0,0,312.6,0,0,0,0,0
 48-58,0.57,0,0,0,1.72,0,525.61,0,0,0.57,32.13,0,0,0,0,0,0,0,0,1.15,14.35,0,0.57,1.15,1390.33,0,1.15,1.15,0,0,0.57,0.57,0,0,0,289.2,0,0,0,0,1.15
 60-70,0,0,1.96,0,1.96,0,1290.7,0,0,0,83.43,0.98,0,0,1.96,0,0,0,0,0.98,34.35,0,0.98,1.96,1882.56,0,0,2.94,0,0,1.96,0,0,0,0,261.08,0,0.98,0,0.98,0.98
 72-82,0,0,9.82,0,17.67,0.98,1703.18,0.98,1.96,3.93,122.71,3.93,0,0.98,1.96,0,1.96,0.98,0.98,1.96,41.23,0,0.98,1.96,2344.21,0,0.98,0.98,0,0,0.98,0,0,0,0,164.92,0.98,0.98,2.94,1.96,0.98
 84-94,0,0,5.31,0,20.18,0,983.45,1.06,0,2.12,95.58,6.37,0,0,0,0,4.25,3.19,0,0,33.99,0,3.19,4.25,1160.81,0,3.19,3.19,0,0,2.12,0,0,0,0,95.58,1.06,0,4.25,2.12,2.12
 96-106,0,0,8.74,0,18.58,1.09,1016.35,0,1.09,0,112.56,12.02,0,3.28,2.19,1.09,2.19,1.09,3.28,0,34.97,0,1.09,3.28,1198.85,1.09,1.09,6.56,0,0,5.46,1.09,0,0,0,56.83,0,3.28,2.19,1.09,1.09
108-118,0,0,1.53,0,12.26,2.3,737.62,0,1.53,0.77,81.96,5.36,0,1.53,2.3,0,0.77,0.77,3.06,0,30.64,0.77,0,4.6,1296.01,0.77,0.77,4.6,0,0.77,1.53,0,0,0,0,49.79,0.77,0,3.06,1.53,0
120,0,0,1.96,0,13.72,0,444.87,1.96,1.96,0,54.87,1.96,0,0,1.96,1.96,0,0,1.96,0,27.44,0,1.96,0,993.61,1.96,3.92,7.84,0,0,5.88,0,0,0,0,45.08,0,0,1.96,0,0
