stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,41.86,0,0,0,0,0,0,9.03,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,138.58,0.81,0.81,0,0,0.81,0,14.5,0,0,0,0,0
 48-58,0,0,0.57,0,0,11.48,0,0,0.57,1.15,0,0,0,0,0,0,0,0,1.15,0.57,0,0,214.03,0,0.57,0,0,0,0,10.9,0,0,0,0,0
 60-70,0,0,0.98,0,0,210.05,0,0.98,0,5.89,0,0,0.98,0,0,0,0,0,2.94,0,0,0,513.34,0,0,0.98,0,0,0,14.72,0,0,0,0,0
 72-82,0,0,2.94,0.98,0,458.44,0,0,2.94,21.6,0,0,0,0,0,0,0,0.98,4.91,0,0,0,641.03,0.98,0,0,0,0,0,17.67,0,0.98,0.98,0,0
 84-94,0,0,7.43,2.12,0,252.76,0,0,0,18.05,0,0,1.06,1.06,1.06,1.06,0,0,5.31,0,1.06,0,360.03,1.06,0,1.06,0,3.19,0,14.87,0,0,0,0,0
 96-106,0,0,5.46,1.09,0,254.63,0,1.09,1.09,15.3,1.09,0,0,2.19,1.09,0,0,0,15.3,0,0,0,330.04,0,1.09,1.09,0,0,0,7.65,1.09,0,1.09,2.19,1.09
108-118,0,0.77,3.06,0,0.77,186.13,1.53,0,0.77,9.96,0,0,0,0.77,0,0,0.77,0.77,10.72,0,0.77,0.77,342.39,0,1.53,0.77,0,0,0,3.83,0,0,0,1.53,0.77
120,0,0,1.96,1.96,0,164.62,0,0,0,7.84,0,0,0,0,0,0,0,0,3.92,0,0,1.96,337.08,0,1.96,0,0,0,0,9.8,0,0,0,1.96,0
