stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,11.49,0,1.64,0,0.82,1.64,0,0.82,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,1.61,0,0,0
 48-58,0,0.57,4.59,0,0,1.15,0,0.57,0,0,0,0,2.87,0,1.72,13.77,1.15,0,0,1.15,1.72,0,0,0
 60-70,0,0.98,2.94,0,0,0,0,0,0,0,0,0,2.94,0,0,3.93,0,0,0,0,0.98,0,0,0
 72-82,0,0,3.93,0.98,0.98,2.94,0,0,0.98,0,0,0,6.87,0.98,0.98,6.87,0,0.98,0,0.98,0.98,0.98,0,0
 84-94,0,1.06,1.06,0,0,2.12,0,0,0,1.06,0,0,4.25,0,0,1.06,1.06,0,0,4.25,0,0,0,0
 96-106,1.09,2.19,2.19,0,0,6.56,1.09,0,0,0,1.09,0,5.46,0,0,5.46,0,1.09,0,10.93,0,0,1.09,0
108-118,0,2.3,3.06,0,0,4.6,0,0,0,0,0,0.77,3.06,0.77,0,1.53,0,0,0.77,0.77,0,0,1.53,0
120,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,3.92,1.96,0,0,0,0,0,1.96
