stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,1.64,5.75,130.52,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0.81,0,13.7,0,2.42,4.03,205.45,0,0,0,0,1.61,0,0,0,0
 48-58,0.57,0,0,0,2.3,0,2.3,1.15,0,0,0.57,26.97,0,5.74,6.89,152.63,0,0,0,0.57,1.15,0,0,0,0
 60-70,1.96,0,0,0,4.91,0,1.96,0,0,0,0,69.69,0,14.72,3.93,109.93,0,0,0,0,0.98,0,0.98,0.98,0
 72-82,0,0,0,0,10.8,0,8.83,0.98,0.98,0,0,132.52,0.98,15.71,11.78,97.18,0,0,0,0,0.98,0,0.98,0,0.98
 84-94,0,0,1.06,1.06,6.37,0,3.19,1.06,0,1.06,0,96.65,1.06,11.68,2.12,142.31,1.06,0,0,0,0,1.06,0,0,0
 96-106,1.09,0,0,0,6.56,0,3.28,0,0,0,0,166.11,1.09,8.74,9.84,99.45,0,0,1.09,0,0,0,2.19,0,0
108-118,0,0,0.77,0.77,3.06,0,6.13,0.77,0,1.53,0,134.81,1.53,10.72,8.43,123.32,0,0,0.77,0,0,0,1.53,0.77,0
120,1.96,0,0,0,9.8,0,5.88,0,0,0,0,139.14,0,3.92,7.84,150.9,0,0,0,0,0,0,0,0,0
