stage,axial,blastomeres,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord
  3-4,39.53,593.01,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0
  7-9,0,0,5.26,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,31.47,0,0,0,12.59,0,3.15,0,0
 14-21,0,0,4,0,1,0,0,32,0,0,1,0,0,0,1,10
 24-34,0,0,4.1,0,0.82,0.82,0,18.88,0,0,0.82,0,0,0,0,8.21
 36-46,0,0,4.83,0,0.81,0,0.81,8.86,0,1.61,0,0,0,0,0,4.83
 48-58,0,0,8.03,0,0.57,0,0.57,2.87,0,0,0,0,0,0,0,2.3
 60-70,0,0,9.82,0.98,0,0,0,2.94,0,0.98,0,0,0,0,0,0
 72-82,0,0,3.93,0,3.93,0,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,3.28,0,3.28,0,0,0,0,0,0,0,1.09
108-118,0,0,2.3,0,2.3,0.77,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,1.96,0,0,1.96,0,0,0,0,0,0,0
