stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,1.15,0,0.57,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,14.72,3.93,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,1.06,0,0,32.92,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,112.56,3.28,1.09,9.84,1.09,0,0,1.09,0,0
108-118,0,0,0.77,0,0.77,1.53,0.77,0,0,195.32,1.53,0,6.13,0,0.77,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,1.96,119.55,0,0,1.96,0,0,0,0,0,1.96
