stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,19,1,0,1,1,0,0,2,2,6,36,0,0,2,0,1
 24-34,0.82,0,1.64,0,3.28,0,0,0,0.82,0,1.64,0.82,0,0,0,3.28,26.27,0,6.57,274.17,2.46,1.64,0.82,0,0,0,0,0,1.64,92.76,0,0,9.03,0,0
 36-46,0,0,0,0,33.03,0,0,0,7.25,0,0.81,0,0,0,0,0.81,22.56,0,7.25,334.35,0,1.61,0.81,0,0,0,0,0,0,74.12,0,0,4.03,0,0.81
 48-58,0,0,1.15,0.57,69.43,0,0,0,11.48,0,0,0,0,0,0.57,0.57,10.33,0.57,2.87,270.26,0.57,1.15,2.3,0,0,0,0,0.57,0,38.44,0,0,4.59,0,1.72
 60-70,0,0,0.98,0,229.68,0,0,1.96,20.61,0,0,0,1.96,0,0.98,0,29.45,0,3.93,437.76,1.96,1.96,0,0,0,0,0,0.98,0,62.82,0,0,2.94,0,1.96
 72-82,0.98,0,5.89,0,191.42,0,0.98,1.96,23.56,0,0.98,0,0.98,0,0,0.98,53.99,0,6.87,310.21,0.98,1.96,0,0,1.96,0.98,0,0.98,0,31.41,1.96,0.98,10.8,1.96,0.98
 84-94,1.06,0,4.25,0,155.06,1.06,0,2.12,11.68,1.06,0,0,3.19,0,0,0,23.36,2.12,5.31,158.24,2.12,1.06,1.06,0,0,0,0,0,0,14.87,3.19,0,4.25,1.06,3.19
 96-106,0,0,1.09,0,54.64,0,0,0,9.84,0,0,0,1.09,0,0,1.09,22.95,1.09,0,73.22,0,0,0,0,0,0,0,1.09,0,3.28,1.09,1.09,2.19,1.09,0
108-118,0.77,0,1.53,0.77,48.26,0,0,2.3,10.72,0.77,0.77,0,0.77,0,0.77,1.53,20.68,0,3.06,124.85,0,2.3,0,0,0,0,0,0,0,3.06,0,0.77,5.36,0,2.3
120,0,0,1.96,0,45.08,1.96,0,0,3.92,0,0,0,0,1.96,0,0,27.44,0,1.96,84.27,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
