stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,171.31,1581.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,30.65,459.72,6.13,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,6.13,12.26,0,0,0,0,0,0
  7-9,10.51,5.26,7.89,0,0,0,0,0,0,0,0,0,0,68.35,5.26,0,63.09,0,2.63,0,2.63,0,0,0
 10-12,0,9.44,18.88,0,6.29,0,0,0,0,0,0,0,0,47.2,3.15,0,28.32,0,3.15,0,40.91,0,0,0
 14-21,0,0,0,5,6,3,0,0,0,0,0,16,4,34,0,0,0,0,0,3,3,6,5,1
 24-34,0,0,0,2.46,0,9.03,0,0,0,0,0.82,9.03,0.82,18.06,0,0,0,0,0.82,0,0,1.64,4.93,0
 36-46,0,0,0,0,0,7.25,0,0,0,0.81,0.81,2.42,0.81,8.86,0,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,0,0,4.59,0,0,0,0,0,2.3,0.57,12.05,0.57,0,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,0,14.72,0,0,0,0,0,0.98,0,9.82,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,8.83,0,0,1.96,0,0,1.96,0,5.89,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,14.87,0,2.12,0,0,0,2.12,0,6.37,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,8.74,0,0,0,0,0,2.19,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,3.06,0,0,0.77,0,0,2.3,0,3.83,0,0.77,0,0.77,0,0,0.77,0,0,0
120,0,0,0,0,0,7.84,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
