stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,3030.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,1869.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,6.13,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,7.89,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,299.67,13.14,0,0,105.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,25.18,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,9,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,64,1,0,4,0,0,0,0,3,1,1,4,32,0,0,0,0,0
 24-34,0,0,0.82,0.82,4.93,0,0,28.73,0,0.82,0,2.46,0,0,0,0,0,1.64,2.46,0,3.28,0,0,1.64,114.1,0,4.93,9.03,0,0,1.64,0,0,0,0,0,46.79,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,0,55.59,0,0.81,0,5.64,0,0,0.81,0,0,0,12.09,0,2.42,0,0,0,130.52,0,3.22,1.61,0,0,1.61,0,0,0,0,0,62.84,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,57.95,0,0,0,10.33,0,0,0,0,0,0.57,30.41,0,2.87,0,0,0,71.73,0,1.15,2.3,0,0,0,0,0,0,0,0,15.49,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,65.76,0.98,0.98,0,50.06,0.98,0,0,0,0.98,0,66.74,0,4.91,0,0,0,59.87,0,5.89,0,0,0,0,0.98,0,0,0,0,8.83,0,0,0,0,0
 72-82,0,0,10.8,0.98,1.96,3.93,0,56.94,0,0,0.98,70.68,0,0,0,0.98,0.98,0,179.64,0,7.85,0,0.98,1.96,81.48,0.98,4.91,4.91,0,0,2.94,0,0,0.98,0.98,0,2.94,0.98,0,1.96,0.98,2.94
 84-94,0,0,2.12,0,1.06,6.37,1.06,25.49,0,2.12,1.06,45.67,6.37,0,2.12,2.12,0,1.06,518.27,1.06,13.81,0,0,1.06,54.16,0,2.12,1.06,0,1.06,3.19,0,0,1.06,0,0,3.19,0,0,1.06,0,0
 96-106,0,0,3.28,0,8.74,5.46,1.09,40.44,0,1.09,2.19,66.66,5.46,0,2.19,3.28,0,1.09,771.55,0,21.86,1.09,1.09,2.19,136.61,1.09,8.74,5.46,0,0,18.58,1.09,0,0,2.19,0,4.37,3.28,2.19,5.46,0,1.09
108-118,0,0,1.53,0,5.36,4.6,1.53,35.23,0.77,1.53,0,43.66,3.83,0,1.53,0,0,1.53,1476.78,0.77,32.94,0.77,0,2.3,130.21,0,8.43,9.19,0,1.53,9.96,0,0,0.77,4.6,0,3.06,0.77,0,3.83,1.53,0.77
120,0,0,3.92,0,7.84,1.96,0,37.24,0,0,0,21.56,0,0,5.88,0,0,0,754.52,0,25.48,0,0,5.88,78.39,0,0,0,0,0,7.84,0,0,0,3.92,0,3.92,0,0,0,0,1.96
