stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,38,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,8,10,1,0,2,1,0,6,0,2,0,0,0,0,0
 24-34,0.82,0.82,9.85,0,6.57,0,0.82,0,0,0.82,0,0,1.64,0.82,4.1,0.82,0,85.37,0,0,28.73,30.37,0.82,0.82,14.78,0,5.75,0,6.57,2.46,4.1,0,0,0,0
 36-46,0,0,3.22,0,5.64,4.03,0,0,1.61,0,0.81,0,0.81,0,1.61,0,0.81,60.43,0,0.81,28.2,49.95,1.61,0.81,15.31,0.81,6.45,0,8.06,0.81,5.64,0,0,0,0
 48-58,0,0,1.72,0,13.2,5.16,0,0.57,9.18,0,0.57,0,0,0,1.72,0,0,52.79,0,0.57,39.59,63.12,2.3,0.57,15.49,0,9.18,0,6.31,0,6.31,0,0,0,0
 60-70,0.98,0,0.98,0.98,29.45,14.72,0.98,1.96,19.63,0,0,0,0,0,0,0,0,55.95,0,0,22.58,150.17,0,0,13.74,0,14.72,0,4.91,0,8.83,0,0.98,0,1.96
 72-82,0,0,2.94,0.98,23.56,15.71,0,0,29.45,0,0,0,0,0.98,1.96,0,0,48.1,0,0,17.67,124.67,0,0,17.67,0,4.91,0,0.98,0,4.91,0,0.98,0,1.96
 84-94,1.06,0,4.25,0,23.36,12.74,2.12,4.25,33.99,0,0,1.06,0,0,1.06,0,0,44.61,0,0,18.05,60.54,1.06,0,11.68,0,14.87,0,1.06,0,2.12,0,0,1.06,0
 96-106,1.09,0,3.28,0,24.04,9.84,0,1.09,28.41,0,0,0,0,1.09,2.19,0,0,34.97,1.09,0,16.39,79.78,0,1.09,21.86,1.09,6.56,0,4.37,0,2.19,0,0,1.09,0
108-118,0,0,5.36,1.53,19.15,9.19,0,0.77,10.72,0,0,0,0,0,0,0,0,31.4,0.77,0,13.79,68.94,0,0,19.92,0,3.06,0,4.6,0,0.77,0.77,0,0,0
120,0,0,7.84,0,7.84,21.56,0,0,23.52,0,0,0,0,0,0,0,0,13.72,1.96,0,13.72,105.83,0,0,17.64,0,5.88,0,1.96,0,0,0,0,0,0
