stage,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,5.75,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,4.03,0,0
 48-58,0.57,0,2.87,0.57,0,0.57,0,0,0,0,1.15,0,0,0,2.87,0.57,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,8.83,0,0.98
 72-82,0.98,0.98,2.94,0,1.96,0,0,0,0,0,2.94,0,0,0,7.85,0,0
 84-94,0,0,1.06,0,2.12,0,0,0,1.06,0,2.12,0,0,1.06,30.8,0,0
 96-106,2.19,0,0,1.09,1.09,1.09,1.09,0,0,0,3.28,0,0,0,13.11,0,0
108-118,0,0,2.3,0.77,0,0,0,0.77,0,0,2.3,1.53,0,0,15.32,0,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,15.68,0,0
