stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,22,14,3,0,17,0,0,0,1,1,1,0,0,0,0,0,9,0,8,229,0,0,5,1,0,1,0,3,1,2,18,93,0,0,0,0
 24-34,0,0.82,17.24,11.49,0,0,13.95,0,0,0,1.64,4.1,1.64,0,0,0.82,3.28,0,13.95,0,0.82,230.66,0,7.39,1.64,0,0,1.64,0,0,2.46,0.82,4.1,109.99,0,0,1.64,0
 36-46,0,2.42,0.81,0,0,0,8.06,0,0.81,0,6.45,2.42,4.03,0,0,0,5.64,0,11.28,0,2.42,200.61,0,13.7,0.81,0,0,0,0.81,0,0.81,0,0,97.49,0,0,0,0
 48-58,0,0.57,0.57,0.57,0,0,16.07,0,0,0,6.89,1.72,2.3,0,0,0,1.15,0.57,11.48,0,1.15,236.41,0,4.59,0,0,0,0,0,0,1.15,0,0,62.54,0,0.57,1.15,0
 60-70,0,1.96,0,0,0,0,50.06,0,1.96,0.98,9.82,1.96,0,0.98,0,0,1.96,0.98,17.67,0,0.98,349.42,0,6.87,0.98,0,0,0,0,0,0,0,0,48.09,0,0,0.98,1.96
 72-82,0,2.94,0,3.93,0.98,0,150.19,0,0,1.96,16.69,3.93,1.96,0,0,0.98,0,0,25.52,0,1.96,398.55,0,12.76,0.98,0,0,0,0,0,0,0,0,28.47,2.94,0,1.96,0.98
 84-94,0,4.25,0,2.12,2.12,0,74.34,0,2.12,1.06,14.87,3.19,2.12,1.06,0,0,2.12,0,16.99,1.06,1.06,192.23,0,6.37,3.19,0,0,1.06,0,0,0,0,0,6.37,3.19,0,1.06,2.12
 96-106,0,3.28,0,6.56,3.28,1.09,102.73,1.09,6.56,1.09,16.39,6.56,1.09,2.19,0,1.09,1.09,0,25.14,2.19,1.09,191.25,0,14.21,2.19,0,1.09,2.19,0,0,0,0,0,8.74,10.93,0,0,8.74
108-118,0,1.53,0,2.3,0,0,86.55,2.3,2.3,1.53,12.26,3.06,1.53,0.77,0.77,0.77,0.77,0,15.32,0,0,182.3,0.77,8.43,0.77,0,0,0.77,0,0,0,0,0,4.6,20.68,0,2.3,1.53
120,0,0,0,3.92,0,0,76.43,0,1.96,0,11.76,5.88,0,1.96,0,0,0,0,7.84,0,1.96,231.25,1.96,13.72,0,0,1.96,1.96,0,0,1.96,0,0,7.84,7.84,0,0,3.92
