stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,39.53,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,42.91,331,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,183.89,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5,0,0,0,22.03,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,163,5,0,2,0,0,0,0,1,9,2,0,0,2,2,0,21,0,3,2,3,0,44,2,2,21,0,1,0
 24-34,0,0,0.82,0,56.64,0,0,0.82,4.1,0,0,0,0,32.83,1.64,0.82,0,0.82,1.64,0.82,19.7,0,0.82,0,0,0,43.51,0,0,4.93,0,0,0
 36-46,0,0,0,0,16.92,0.81,0,1.61,5.64,0,1.61,0,0,50.76,0,0.81,0.81,4.03,0.81,0,4.83,0,0.81,0,0,0,24.98,0,0,0.81,0,0,0
 48-58,0,0,0,0,13.2,0.57,0,2.3,6.31,0.57,0.57,0,0,51.64,0,0,0,2.3,0.57,0,10.33,0,0,1.15,0,0,16.07,0,0,1.15,0,0,0
 60-70,0,0,0,0,25.52,0.98,0,4.91,3.93,1.96,3.93,0.98,0,67.73,0,0,0.98,4.91,0,0.98,9.82,0,0.98,0.98,0,0,17.67,0,0,0,0,0,0
 72-82,0,0,0,0,17.67,0,0,1.96,5.89,0,2.94,0,0,77.55,0,0,1.96,9.82,0.98,0,7.85,0,0,0,0,0,14.72,0,0,0.98,0,0,0
 84-94,0,0,0,0,25.49,0,0,1.06,10.62,1.06,2.12,0,0,123.2,1.06,0,1.06,6.37,0,1.06,3.19,0,0,0,0,0,32.92,0,0,0,2.12,1.06,1.06
 96-106,0,0,2.19,0,41.53,2.19,1.09,0,9.84,0,1.09,0,0,110.38,0,0,2.19,6.56,0,0,2.19,0,3.28,0,0,1.09,17.49,0,0,0,0,0,0
108-118,0,0,0,0,44.43,0.77,0,1.53,19.15,0,0.77,2.3,0,87.32,2.3,0,0,10.72,0.77,0,8.43,0.77,1.53,0,0,0,10.72,0,0,0,0,0,0
120,0,0,0,0,25.48,0,0,0,17.64,0,3.92,0,0,92.11,0,1.96,1.96,5.88,0,0,11.76,0,0,0,0,0,3.92,0,0,1.96,0,0,0
