stage,axial,blastomeres,erythrocytes,eye,hatching_gland,neural,paraxial_mesoderm,periderm
  3-4,158.14,3729.36,0,0,0,0,0,158.14
  5-6,177.76,1403.69,0,0,0,18.39,6.13,24.52
  7-9,0,0,0,2.63,7.89,73.6,21.03,0
 10-12,0,0,6.29,6.29,3.15,15.73,9.44,0
