stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,2,10,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,2.46,0,0,0.82,0,0,0,0,2.46,29.55,0,0,0,0,0,13.13,0,0,0,0.82
 36-46,0,0,0,0,6.45,0,0,0,0,0,0,0,0.81,0,4.83,0,2.42,45.12,0,0,0,0,0,15.31,0,0.81,0,0
 48-58,0,0,0,0,17.21,0,0.57,0.57,1.72,0,0,0,0,0,3.44,0,0,53.94,0.57,0,0,0,0,5.16,0,1.15,0,1.15
 60-70,0,0,0,0,103.06,0.98,0,0.98,11.78,0,0,0,0.98,0.98,2.94,0,0,90.3,0,0,0,0,0,10.8,0.98,2.94,0,1.96
 72-82,0,0,0,0.98,149.21,0,0,0,12.76,0,0,0.98,1.96,0,9.82,0,0,104.06,0.98,0.98,0,0,0,4.91,0,3.93,0.98,2.94
 84-94,0,0,3.19,0,92.4,1.06,1.06,1.06,12.74,1.06,0,0,2.12,2.12,6.37,0,1.06,56.29,0,0,0,0,0,5.31,0,2.12,0,3.19
 96-106,0,0,1.09,0,72.13,0,3.28,0,17.49,0,0,3.28,4.37,0,6.56,0,2.19,42.62,0,1.09,1.09,0,0,5.46,1.09,7.65,1.09,2.19
108-118,0,0,3.83,0.77,49.02,0.77,0,0,11.49,0,0,0.77,6.89,1.53,6.89,0.77,0,52.85,0,0.77,0.77,0.77,0,0.77,0,6.89,1.53,0.77
120,0,0,1.96,0,47.03,5.88,0,1.96,13.72,0,0,1.96,13.72,1.96,7.84,0,1.96,54.87,0,1.96,1.96,0,0,3.92,1.96,1.96,0,0
