stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,3,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,9.03,0,0,0.82,0,0,0,7.39,0,1.64,55,1.64,5.75,0,0,0,0.82,14.78,0,0,0,0,3.28
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0,0,0,1.61,0,0,81.37,1.61,3.22,0,0,0,0,38.67,0,0,0,0,4.03
 48-58,0,0,0,0.57,0,0,16.64,0,1.72,0,3.44,0,0,0,0,6.89,0,0,148.62,1.15,8.61,0,0.57,0,0,32.71,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,100.12,0.98,0.98,0,5.89,0,0,0,0,36.32,0,0,251.27,0,0.98,0,0,0,0,21.59,0,0.98,0.98,0,2.94
 72-82,0,0.98,0,0.98,0,0,298.43,0,0,0.98,19.63,0,0,0,0.98,60.86,0,0,341.62,0,9.82,0,0.98,0,0,25.52,0,0.98,1.96,1.96,0.98
 84-94,0,0,0,1.06,0,0,175.24,0,1.06,0,11.68,0,1.06,0,0,50.98,0,1.06,176.3,0,6.37,0,1.06,0,0,9.56,0,2.12,1.06,1.06,2.12
 96-106,0,0,0,4.37,1.09,0,220.76,2.19,0,0,20.76,0,0,0,0,31.69,1.09,0,146.44,0,25.14,0,2.19,0,0,10.93,0,0,1.09,1.09,1.09
108-118,0,0,0,5.36,0.77,0,155.49,0,0,0.77,9.19,1.53,0,0.77,0,23.74,0,3.83,138.64,0,21.45,0,1.53,0,0,5.36,0.77,0,0,2.3,0
120,0,0,0,0,0,1.96,78.39,0,1.96,0,11.76,0,0,0,0,23.52,0,3.92,186.18,0,13.72,0,0,1.96,0,7.84,0,0,0,0,0
