stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,94.41,3.15,0,0,15.73,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,5,0,0,0,0,103,0,0,2,1,57,3,1,18,8,0,0,1,83,2,294,0
 24-34,0,0,0,0.82,1.64,0,1.64,0,1.64,81.26,1.64,0,5.75,0,27.91,0.82,5.75,2.46,0,0,0,0,36.12,0.82,146.93,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,54.79,0,0,2.42,0,29.81,0,12.09,2.42,0,0,0,0,12.09,0,81.37,0
 48-58,0,0,0,0,0,0,3.44,0,0,53.36,1.72,0,1.15,0,17.21,0,14.35,4.02,0,0,0,0,4.02,0,91.81,0
 60-70,0,0,0,0,0,0,0.98,0,0,35.33,4.91,0,0,0,8.83,0,5.89,4.91,0,0,0,0,0.98,0,46.13,0
 72-82,0,0,0,0,0,0,5.89,0,0,49.08,3.93,0,0.98,0,10.8,0.98,14.72,14.72,0,0,0,0,0.98,0,22.58,0
 84-94,0,0,0,0,0,0,3.19,0,0,39.3,7.43,0,0,0,9.56,2.12,16.99,23.36,0,1.06,1.06,0,6.37,0,26.55,0
 96-106,0,0,1.09,1.09,0,1.09,4.37,1.09,0,30.6,10.93,0,4.37,1.09,2.19,0,26.23,28.41,0,0,0,0,3.28,0,29.51,1.09
108-118,0,0,0,0.77,0,0,3.83,0,0,26.04,9.19,0,0,0.77,1.53,0,13.02,16.85,0,0,0,0,2.3,0,14.55,0
120,0,0,0,0,1.96,0,0,0,0,3.92,3.92,1.96,0,0,7.84,0,1.96,9.8,0,0,0,0,3.92,0,11.76,0
