stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,3,1,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1,0,0,0,0,1,0,2,1,0,0,29,2,0,0,0,0
 24-34,0,7.39,11.49,2.46,0,0,0,0,0,0,0,3.28,0,0.82,0,17.24,0,0.82,2.46,0.82,0,0,0,12.31,2.46,27.09,0.82,0,0,59.1,1.64,0,0,0.82,0
 36-46,0,2.42,0.81,0.81,0,0,4.03,0,0,0,0.81,8.06,0,0,0,6.45,0,1.61,1.61,0,0.81,0,0,20.95,4.83,29,6.45,0,0.81,25.78,0.81,0,0,0,0
 48-58,0,0.57,0,4.02,0,0,4.02,0.57,0,0,1.15,5.16,0.57,0.57,0,2.3,0,0.57,1.15,4.02,0.57,0,0,13.77,1.15,22.38,4.02,0.57,0,15.49,1.15,0,0,2.3,0.57
 60-70,0,1.96,0,6.87,0,0,7.85,0.98,0.98,0,1.96,17.67,0.98,0,0,3.93,0.98,0,6.87,17.67,0,0,0,7.85,2.94,17.67,4.91,0.98,0,13.74,0,0,0,1.96,0
 72-82,0,13.74,2.94,12.76,0,0.98,9.82,0,0.98,0,2.94,55.95,0,0,0,3.93,0,0,7.85,54.97,3.93,0,0,24.54,2.94,42.21,13.74,0.98,0,19.63,1.96,9.82,0,7.85,0.98
 84-94,0,14.87,8.5,14.87,0,2.12,26.55,0,3.19,1.06,4.25,150.81,2.12,0,1.06,18.05,0,0,18.05,54.16,2.12,0,1.06,14.87,2.12,42.48,9.56,6.37,1.06,24.43,1.06,38.23,1.06,2.12,0
 96-106,0,19.67,17.49,28.41,3.28,3.28,28.41,1.09,3.28,0,5.46,186.88,0,2.19,0,9.84,0,5.46,18.58,43.71,1.09,0,1.09,53.55,2.19,79.78,12.02,6.56,0,36.06,1.09,88.52,0,3.28,0
108-118,0,11.49,16.09,26.81,0.77,13.02,33.7,0,3.83,0,11.49,197.62,0,1.53,1.53,24.51,3.06,3.06,35.23,28.34,2.3,2.3,0.77,38.3,4.6,49.79,19.15,3.83,0,17.62,0.77,128.68,0,5.36,0
120,0,13.72,5.88,29.4,0,7.84,25.48,3.92,3.92,0,19.6,105.83,0,3.92,0,11.76,0,1.96,21.56,25.48,3.92,0,0,35.28,5.88,37.24,17.64,1.96,0,9.8,0,35.28,0,3.92,0
