stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,22,0,0,3,0,0,0,2,0,0,0,0,16,0,1,1,0,5,6,0,0,49,1,0,1,1,0,959,1,6,0,1,8,13,0,0,0,0,1
 24-34,0,0.82,36.94,1.64,0,18.88,0,8.21,0,4.1,0.82,0.82,0,0.82,46.79,0,0.82,0.82,0.82,21.34,34.48,0,13.13,215.89,0.82,15.6,1.64,0,0,1870.73,0,0,0.82,4.1,2.46,28.73,0,0,4.93,0,0
 36-46,0.81,0,16.92,0,0,12.89,1.61,16.92,0.81,2.42,2.42,0,0,0,21.75,0,0.81,0,0,11.28,25.78,0,0,95.07,0.81,16.92,0.81,0,0,2009.34,0,0,1.61,0.81,0,17.72,0,0,0.81,0,0.81
 48-58,0.57,0,31.56,0,0,24.67,0,28.12,1.15,6.31,1.15,0.57,0,0,12.62,0.57,0.57,0,0.57,12.05,20.66,0.57,3.44,76.89,1.15,14.35,0.57,0,0.57,1581.41,0,0,0,0,0,13.77,0,0,1.15,0,1.72
 60-70,0,0,57.91,0,0,21.59,0,24.54,0.98,1.96,0,0,0,0.98,10.8,0.98,0.98,0,0,7.85,11.78,0,1.96,52.02,0,7.85,0,0,0,1247.51,0,0,0,0,0,5.89,1.96,0,0.98,0,0.98
 72-82,0,0,134.49,1.96,0,18.65,0,35.34,1.96,7.85,8.83,0.98,0.98,0,46.14,0,0,1.96,0,9.82,13.74,0,5.89,36.32,0,18.65,0.98,0,0,1162.29,0,0,0,0,0,0,4.91,0.98,2.94,0,0
 84-94,1.06,0,283.56,3.19,0,4.25,0,78.59,0,2.12,18.05,0,0,1.06,69.03,0,0,1.06,1.06,6.37,19.12,1.06,3.19,23.36,1.06,46.73,0,0,0,2763.42,0,0,0,0,0,2.12,38.23,0,2.12,2.12,1.06
 96-106,0,0,395.61,1.09,1.09,9.84,0,65.57,1.09,5.46,68.85,0,0,1.09,90.71,0,3.28,1.09,0,5.46,19.67,1.09,1.09,57.92,0,71.04,2.19,0,0,2100.45,0,0,0,0,0,2.19,38.25,0,2.19,0,0
108-118,0,0,382.22,1.53,1.53,11.49,0.77,98.81,0.77,4.6,73.53,0,0,0,75.83,0,0,0.77,0,13.79,39.83,0.77,1.53,35.23,0,39.83,0,0,0,2235.85,0,0,0,0,0,2.3,34.47,0.77,0.77,0,0
120,0,0,243.01,0,1.96,0,0,60.75,0,7.84,27.44,0,0,0,45.08,0,0,0,0,11.76,27.44,0,0,19.6,0,27.44,0,1.96,0,1091.6,0,0,0,0,0,0,11.76,0,0,0,0
