stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,16,0
 24-34,0,0,3.28,0,0,0,0,0,0,0,0.82,8.21,0,0,0,0.82,0,0.82,0,0,15.6,0.82,0,0,0,0,0,0,2.46,0,0,160.89,0
 36-46,0,0.81,0.81,0.81,0,0,0.81,0.81,0,0,0,8.86,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0.81,0,4.03,0,0,130.52,0
 48-58,0,0.57,0.57,2.87,0,0,0,1.15,0,0,1.72,16.64,0,0,0,0,0.57,2.3,0,0,12.62,2.87,0,0,0,0.57,0,0,0.57,0,0,121.07,0
 60-70,0,0.98,1.96,4.91,0,0.98,0,0,0,0,2.94,32.39,0,0,0,0,0,0.98,0,0.98,4.91,1.96,0,0,0,0,1.96,0,0,0,0.98,65.76,0
 72-82,0,1.96,1.96,8.83,0,0,0,0.98,0.98,0,1.96,76.57,0,0,0,0,0,3.93,0.98,0.98,5.89,2.94,0,0.98,0,0,1.96,0,0.98,0.98,2.94,148.23,3.93
 84-94,0,0,0,3.19,0,0,0,0,0,0,3.19,72.22,0,0,0,0,0,1.06,2.12,0,4.25,2.12,0,0,0,1.06,1.06,0,1.06,0,4.25,116.82,3.19
 96-106,0,1.09,3.28,6.56,0,0,0,1.09,0,0,0,113.66,2.19,1.09,1.09,0,0,9.84,1.09,0,12.02,1.09,1.09,1.09,1.09,1.09,2.19,0,0,0,2.19,177.04,10.93
108-118,1.53,0.77,0.77,4.6,0.77,2.3,0,0.77,0.77,0,0.77,87.32,0,0,0,0,0,6.13,0,0,5.36,0.77,0,0.77,0.77,0,0.77,0,0,0,0,153.19,9.19
120,0,0,3.92,0,1.96,0,1.96,1.96,0,1.96,0,190.1,0,0,0,0,0,5.88,1.96,1.96,5.88,1.96,0,0,3.92,3.92,5.88,0,1.96,0,1.96,203.82,5.88
