stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,4.1,0.82,0,0,0.82,0,0,0,0,2.46,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,7.25,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,27.54,30.99,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,6.87,466.22,0,0,0.98,2.94,0,0,0,0,0,0,0,3.93,0,0,0,14.72,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,2.94,0,15.71,12.76,1483.29,0,0.98,2.94,49.08,0.98,0.98,1.96,1.96,0.98,0,0.98,16.69,0,0.98,0.98,113.87,0,1.96,0,0.98,0.98,0,0,3.93,0,0.98,0.98,1.96,0.98
 84-94,0,2.12,0,15.93,14.87,921.85,1.06,6.37,0,57.35,1.06,0,0,0,2.12,1.06,2.12,12.74,1.06,3.19,0,87.09,1.06,0,2.12,0,3.19,0,1.06,5.31,3.19,2.12,1.06,2.12,0
 96-106,0,1.09,0,17.49,8.74,1206.5,1.09,5.46,0,71.04,2.19,2.19,6.56,3.28,1.09,2.19,4.37,24.04,0,1.09,0,97.26,1.09,1.09,3.28,1.09,4.37,0,0,2.19,1.09,0,3.28,3.28,3.28
108-118,0,0,0,6.89,8.43,787.41,0.77,1.53,0.77,29.11,0.77,0,2.3,1.53,0.77,0,3.83,14.55,0,0.77,6.13,60.51,1.53,1.53,0,0,1.53,0,0,0,0.77,0,0,1.53,0
120,0,0,0,5.88,9.8,503.66,0,3.92,1.96,29.4,1.96,0,0,1.96,0,0,0,19.6,1.96,0,3.92,76.43,0,1.96,3.92,0,0,0,0,1.96,0,0,0,0,0
