stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,3,0,0,4,8,6,3,0,1,0,0,0,1,1,6,0,0,0,0,1
 24-34,0,1.64,2.46,0.82,0,21.34,0,39.4,0.82,0,0,0,0,0,0,0,0,22.98,14.78,0,0,0.82,134.62,1.64,36.12,0.82,0,0,0.82,0,0.82,5.75,30.37,0,0,0.82,0,0
 36-46,0,0,3.22,0,0,21.75,0,16.11,0.81,2.42,0,0,0,0,0,0.81,0,36.26,25.78,0,0,0.81,369.8,0,41.89,0,0,0,0,0,0.81,0,58.81,0,0,0.81,0,0
 48-58,0,0,2.87,0,0,53.36,0,12.62,0.57,5.74,0,0,0,0,1.15,0,0,24.1,16.64,1.15,0,0.57,617.41,0.57,27.54,0,0,0,1.15,0,0.57,0,55.09,0,0,0,0,1.15
 60-70,0,1.96,8.83,0,0,163.91,0.98,1.96,0,9.82,0,0,0.98,0,6.87,0.98,0,20.61,25.52,0,0.98,2.94,1486.02,0,38.28,0,0,0,1.96,0,0,0,93.24,0,0.98,0.98,0.98,0.98
 72-82,0,2.94,12.76,0.98,0,474.14,1.96,0.98,3.93,42.21,2.94,0.98,0,0,4.91,0.98,0.98,16.69,31.41,0,0.98,1.96,2173.4,0,57.92,0.98,0,2.94,4.91,0,0,0,82.46,0,0,0,0.98,0.98
 84-94,0,1.06,14.87,3.19,1.06,438.62,2.12,6.37,0,41.42,1.06,0,1.06,1.06,6.37,1.06,0,33.99,29.74,0,3.19,4.25,1189.48,1.06,54.16,3.19,0,1.06,5.31,0,0,0,41.42,0,0,1.06,0,1.06
 96-106,0,3.28,26.23,6.56,0,488.5,0,5.46,2.19,67.76,5.46,0,1.09,0,2.19,1.09,0,30.6,42.62,2.19,2.19,2.19,1169.35,0,101.63,6.56,0,1.09,6.56,0,1.09,0,31.69,0,0,4.37,3.28,5.46
108-118,0,4.6,21.45,7.66,0,380.68,0,4.6,3.83,48.26,1.53,0,1.53,0.77,9.19,0,0.77,38.3,26.81,0.77,1.53,3.83,1292.18,0,65.11,3.83,0,0.77,3.83,0,0,0,22.21,1.53,0.77,4.6,0.77,6.89
120,0,3.92,25.48,0,1.96,409.6,3.92,0,0,54.87,0,0,3.92,1.96,5.88,0,1.96,9.8,41.16,1.96,0,3.92,1771.65,0,50.95,3.92,0,0,3.92,1.96,1.96,0,29.4,0,0,1.96,0,1.96
