stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,1.72,0,0,1.72
 60-70,0,0,1.96,0,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,0,0,0,1.06,0,3.19,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0
