stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,0,1,0,0,2,0,0,0,0,0,1,0,0,20,0,0,0,1,0,2,3,11,0
 24-34,0,0,0.82,0,4.93,0,0,0,0,0,1.64,0,0.82,2.46,0,0,99.32,0.82,0,1.64,0,0,0,3.28,33.66,0.82
 36-46,0,0,0.81,0,8.06,0,0,2.42,0,0,0,0,0,8.86,0,0,160.33,0.81,0.81,0,0,0,0,0,41.89,0.81
 48-58,0,0,1.15,0,24.1,0,0,4.59,0,0,0,0,0,2.3,0,0.57,210.59,0,0,0,0,3.44,0,0,31.56,0
 60-70,0,0,2.94,0,23.56,0,0.98,1.96,0,0,0,0,0,4.91,0.98,0,206.12,0,0,1.96,0,0,0,0,20.61,0.98
 72-82,0,0,0,0,16.69,0,0,1.96,0,0,0,0,0,1.96,0,0,107.98,0,0,0,0,0,0,0,8.83,0
 84-94,0,0,2.12,0,9.56,1.06,0,2.12,0,0,0,0,0,3.19,0,0,41.42,0,1.06,2.12,0,0,0,0,9.56,1.06
 96-106,0,0,1.09,1.09,7.65,0,0,1.09,0,0,0,2.19,0,4.37,1.09,0,26.23,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0.77,4.6,4.6,0,0,0,0.77,0,0,0,0,0,0,0,22.21,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,5.88,5.88,0,0,3.92,0,0,0,0,0,1.96,0,0,11.76,0,1.96,0,0,1.96,0,0,0,0
