stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,1,0,15,0,0
 24-34,0,0,0,0,0.82,2.46,0,0,0,0,0,2.46,0,0,146.93,0,3.28,0,0,0,0,0,0,13.95,0,0
 36-46,0,0.81,0,0,1.61,0.81,0,0,0,0,0,3.22,0,1.61,289.24,0,4.03,1.61,0,0,0,0,0,35.45,0,1.61
 48-58,0,0,0.57,0.57,10.9,4.59,0,0,0,0,0,3.44,0,0.57,296.66,0,2.3,0.57,0,0,0,0,0,34.43,0,0
 60-70,0,0.98,0,0,33.37,1.96,0,0,0,0,0,7.85,0,0,377.89,0,0.98,0,0,0,0,0,0.98,30.43,0,0.98
 72-82,0,0,2.94,0,35.34,9.82,0,0,0.98,0,0,7.85,0,0,289.59,0,0.98,0,0,0,0,0,0,20.61,0,0
 84-94,0,0,3.19,0,39.3,7.43,1.06,1.06,0,0,0,9.56,1.06,0,131.69,0,1.06,0,0,0,0,0,0,9.56,1.06,1.06
 96-106,0,0,1.09,0,21.86,6.56,0,1.09,0,1.09,1.09,5.46,0,0,133.33,0,1.09,1.09,0,0,0,0,0,3.28,0,0
108-118,0,0,1.53,0,26.81,2.3,0.77,0.77,0,0.77,0,2.3,0,0,121.02,0,1.53,0,0,0.77,0.77,0,0,3.83,0,0.77
120,0,0,1.96,0,21.56,7.84,0,0,3.92,0,0,7.84,0,0,119.55,0,1.96,0,0,0,0,0,0,0,0,0
