stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,0,0.82,0,7.39
 36-46,0,0,0,1.61,1.61,0,0.81,0.81,0,0,0,2.42,0.81,0,10.47,0,0,0,0,0.81,0,24.17
 48-58,0,0,0,2.3,4.59,0,0,0,0,0,0,2.3,1.72,0.57,8.61,0,0,0,0,2.3,0,71.73
 60-70,0,0,0,2.94,3.93,0,0,0,0,0,0.98,0,0,0,6.87,0,0.98,0,0,0.98,0,36.32
 72-82,0,0,0,1.96,6.87,0,0,0,0,0,0,4.91,1.96,0,6.87,0,0,0.98,0,2.94,0,25.52
 84-94,0,0,0,4.25,5.31,0,0,0,0,0,0,4.25,3.19,0,2.12,0,0,0,1.06,0,1.06,16.99
 96-106,0,1.09,0,0,1.09,3.28,0,0,0,1.09,0,1.09,4.37,0,5.46,0,0,0,0,0,0,6.56
108-118,0,0,0,1.53,0.77,0.77,0,0,0.77,0,0,4.6,2.3,0,4.6,0,0,0,0,0.77,0,24.51
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0
