stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,15.77,18.4,0,0,0,34.17,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,105.15,52.57,0,0,588.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,59.79,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,377.64,110.14,0,0,2712.69,0,0,6.29,44.06,75.53,0,34.62,3.15,0,0,0,0
 14-21,0,6,15,63,62,0,22,0,0,0,11,8,2,0,1,0,0,0,0,1,53,0,0,809,381,72,0,3,30,0,8,1,2041,5,6,2836,518,0,2,0,0
 24-34,0,0,0,10.67,3.28,0,19.7,0,0,0,13.13,0.82,0.82,0,0.82,0.82,0.82,0,0,1.64,159.25,0,0,862.72,304.54,0.82,0.82,2.46,0.82,0,1.64,0,18.06,0,0.82,387.44,206.03,0,3.28,0,0
 36-46,0,0,0,0.81,0.81,0,8.86,0,0,0,3.22,0,0,0,0.81,0,0,0.81,0,0.81,236.87,0,3.22,563.97,207.06,0,0.81,1.61,0,0,2.42,0,10.47,0.81,4.03,3.22,126.49,0,14.5,0,0
 48-58,0,0,0,0.57,0,0,14.35,0,0,0,6.31,0,0,0.57,0.57,0,0.57,0,0,0.57,190.5,0.57,1.72,424.62,114.19,0,0,0,0,0,0.57,0,1.15,0,1.72,0.57,89.51,0,20.66,0,0.57
 60-70,0,0,0,0.98,2.94,0,23.56,0,0,0,5.89,0,0,0,6.87,0,0,0,0,0,152.14,0,2.94,317.03,101.1,0,0,0,0,0,0.98,0,0,0,1.96,0,33.37,1.96,21.59,0,0
 72-82,0,0,0,3.93,4.91,0,67.73,0.98,0.98,0,17.67,0.98,0,0,17.67,0,0,0.98,0.98,0.98,225.78,0,1.96,410.33,157.07,0,0,0,0,1.96,1.96,0,0.98,0,0.98,0,27.49,3.93,52.03,3.93,0.98
 84-94,0,0,0,4.25,1.06,0,65.85,2.12,0,0,15.93,1.06,0,0,16.99,0,1.06,0,0,0,183.73,0,4.25,377.02,87.09,0,0,1.06,0,0,1.06,0,0,0,0,0,11.68,6.37,50.98,4.25,0
 96-106,0,0,0,9.84,2.19,0,38.25,0,0,1.09,16.39,0,0,0,16.39,1.09,0,1.09,1.09,0,175.95,0,0,340.97,98.36,0,3.28,2.19,0,1.09,1.09,0,0,2.19,0,0,7.65,0,68.85,2.19,0
108-118,0,0,0.77,4.6,4.6,0.77,36.77,0.77,0,1.53,10.72,0,0,0,12.26,0.77,0.77,0,0.77,0,137.87,0,0.77,390.64,130.21,0.77,0,0,0,0,1.53,0,0,0,0.77,0,5.36,0.77,52.09,2.3,0.77
120,0,0,0,3.92,1.96,0,37.24,0,0,0,7.84,0,0,0,5.88,0,0,0,0,0,78.39,0,1.96,421.35,145.02,0,0,0,0,0,0,0,1.96,0,0,0,7.84,0,48.99,1.96,0
