stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0
 14-21,0,34,0,0,0,0,0,0,0,1,1,1,0,0,0,0
 24-34,0,16.42,0,0.82,0,0,0,0.82,0,0.82,0,3.28,0.82,0,0.82,0
 36-46,0,0.81,0,0.81,0.81,0.81,0,0,0,0,0,11.28,0,0,1.61,0.81
 48-58,0,0.57,0,1.72,0,0,0,0,0,0,0,5.74,0,0,0,0.57
 60-70,0,0,0,14.72,0,0,0,0,0,0,0,14.72,0,0.98,0,0.98
 72-82,0,0,0,43.19,0,0,0,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,40.36,0,0,0,0,0,1.06,0,3.19,0,0,0,0
 96-106,0,0,1.09,53.55,0,0,1.09,0,0,0,0,3.28,0,0,0,1.09
108-118,0,0,0,37.53,0,0,0,0,0.77,0.77,0,2.3,0,0,0.77,0
120,0,0,0,54.87,0,0,0,0,0,0,0,0,0,0,0,0
