stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,13,3,0,18,0,0,0,8,2,0,0,0,0,0,0,0,1,20,0,0,13,141,3,0,0,5,0,6,12,1,1,12,46,0,0,1,0,1
 24-34,0.82,0,18.88,0.82,0,31.19,0,1.64,0,9.85,0,0,1.64,0,3.28,0,0,0,0,27.91,0,0,15.6,342.3,0.82,3.28,6.57,0,0,4.1,0,0,0.82,3.28,77.98,0,0,8.21,0,0
 36-46,0,0,9.67,0,0,92.65,2.42,1.61,0.81,15.31,0,0,1.61,0,0,0,0.81,0.81,1.61,34.64,0,0.81,11.28,338.38,4.83,4.03,6.45,0,0,8.86,0,0.81,0,0,96.68,0,0,9.67,0,0.81
 48-58,0,0,7.46,0,0,249.61,0.57,0.57,5.74,31.56,0,0,0.57,1.15,0.57,0,1.15,0.57,1.15,94.68,0.57,2.3,5.74,633.48,1.72,2.87,2.3,0,0.57,4.02,0,1.15,0,0,118.2,0,0.57,8.61,0,1.15
 60-70,0.98,0,9.82,0,0,162.93,0,5.89,6.87,25.52,0,0,0.98,1.96,0.98,0.98,0,0,0.98,87.36,0,0,9.82,303.29,1.96,2.94,4.91,0,1.96,14.72,0,0,0,0,47.11,0,0,7.85,0.98,1.96
 72-82,0.98,0,5.89,1.96,0,132.52,0,0.98,9.82,31.41,0.98,0.98,1.96,0,0.98,0.98,0.98,0,0.98,106.02,0.98,2.94,12.76,372.05,0,0,2.94,0,0.98,7.85,0,0.98,0,0,23.56,0,2.94,4.91,3.93,0
 84-94,0,0,18.05,0,1.06,97.71,0,5.31,7.43,12.74,2.12,1.06,1.06,7.43,3.19,3.19,1.06,2.12,1.06,84.96,2.12,4.25,10.62,121.07,5.31,2.12,6.37,0,2.12,27.61,0,2.12,0,0,10.62,0,0,10.62,4.25,0
 96-106,1.09,0,14.21,0,2.19,41.53,0,1.09,6.56,17.49,6.56,0,0,3.28,0,0,1.09,0,0,63.39,2.19,1.09,7.65,138.79,3.28,5.46,6.56,0,2.19,26.23,0,0,0,0,3.28,0,1.09,12.02,2.19,2.19
108-118,0,0,16.09,1.53,2.3,39.83,0.77,2.3,2.3,9.19,3.83,0,0.77,2.3,1.53,1.53,2.3,0.77,0,48.26,0,2.3,6.89,85.02,3.06,0,3.06,0,1.53,21.45,0,0.77,0,0,0,0.77,0,10.72,3.06,0
120,1.96,0,19.6,3.92,0,37.24,0,1.96,3.92,7.84,0,0,0,1.96,1.96,0,1.96,0,0,56.83,0,3.92,7.84,139.14,3.92,0,1.96,0,0,13.72,0,1.96,0,0,3.92,0,1.96,11.76,0,1.96
