stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,11,0,0,0,1,0,0,1,2,1,6,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,3.28,0,0,0,2.46,0,0,0,0,2.46,0,0.82,0,3.28,0,0,3.28,40.22,1.64,0.82,0.82,0,0,0.82,0,0,4.93,10.67,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,0,16.92,0.81,0,0.81,7.25,0,0,0,0,0.81,0,0,0,9.67,0,0,3.22,53.98,0,0.81,0,0,0,1.61,0,0.81,0,15.31,0,0.81,3.22,0,0
 48-58,0.57,0,0,0,0.57,0,0,17.21,1.15,0,0.57,5.16,0.57,0,0.57,0,0,0,0,0,11.48,0.57,0,0,35,0,1.72,1.15,0,0,1.15,0,0,0,10.9,0,0,2.3,0,1.15
 60-70,0,0,0,0,0.98,0,0,35.33,0.98,1.96,0,7.85,0,0,0,1.96,0.98,0,0,0.98,19.63,0,0,2.94,31.41,0,0,0.98,0,0.98,12.76,0,0,0,3.93,0.98,0,0.98,0,1.96
 72-82,0,0,0,0,5.89,0,0,27.49,0.98,0,0.98,12.76,0,0,0,1.96,4.91,0.98,0.98,0,10.8,0,0,0,39.27,0,1.96,1.96,0,0,29.45,0,0,0,5.89,0,0.98,0.98,0,0
 84-94,0,0,1.06,0,6.37,1.06,1.06,11.68,0,1.06,0,5.31,2.12,0,0,4.25,11.68,0,0,1.06,6.37,0,1.06,0,12.74,0,2.12,0,0,0,75.4,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,2.19,0,32.79,1.09,0,14.21,1.09,3.28,0,7.65,2.19,0,0,5.46,9.84,0,0,0,22.95,3.28,1.09,2.19,21.86,0,4.37,0,0,1.09,163.93,0,0,0,1.09,1.09,0,5.46,1.09,0
108-118,0,0,0,0,23.74,1.53,0,8.43,3.06,5.36,0,6.89,3.83,0,0,6.13,7.66,0,0.77,0,13.02,3.06,0,3.83,19.15,0,1.53,0,0,0,105.7,0,0,0,0,3.83,0,4.6,0.77,0
120,0,0,0,0,35.28,0,0,5.88,0,7.84,0,1.96,5.88,0,0,7.84,11.76,0,0,0,3.92,5.88,0,1.96,11.76,0,1.96,0,0,0,184.22,0,0,0,1.96,3.92,1.96,5.88,0,0
