stage,blastomeres,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,7,7,0,0
 24-34,0,2.46,0,0,0.82,0,0.82,0,0,1.64,0,11.49,41.86,0.82,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,1.61,0,2.42,24.17,0,0
 48-58,0,0,0.57,1.15,0,0.57,0,0,0.57,0.57,0,1.72,20.66,0,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,0,0,29.45,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.96,0,0,35.34,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,2.12,0,0,71.16,0,0
 96-106,0,0,0,2.19,0,0,0,1.09,0,0,0,1.09,54.64,0,0
108-118,0,0,2.3,0.77,0,0,0,0,0,0.77,0,0,39.83,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,35.28,0,0
