stage,axial,blastomeres,endoderm,epidermis,eye,glial,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,5.26,0,0,0,0,0,65.72,2.63,0,76.23,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,0,0,0,0,0,62.94,12.59,0,110.14,0,6.29,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,6,0,0,3,0,0,56,0,61,10,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,2.46,0,0,0,0,0,0,0,9.03,1.64,0
 36-46,0,0,0,0,0,0,0,2.42,0.81,0.81,5.64,0,0,0,0.81,0,0,0,0,4.03,0
 48-58,0,0,0,0,2.3,0.57,0,1.15,0,0.57,5.16,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,1.96,0,0,0.98,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,6.87,0.98,0,2.94,0,0,4.91,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,4.25,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,3.92,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96
