stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,2,0,0,0,0
 24-34,0,1.64,0,0.82,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,10.67,0,0,0,0,4.93,0,1.64,0,1.64,0,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0,2.42,0,0,0,4.03,0,0,0,0,13.7,0,1.61,0,0,0,0
 48-58,0,0.57,0,1.15,0,0,0,0,0,0,0,0,0,1.72,0,0,0.57,5.16,0,0,0,0,6.31,0,0.57,0,0,0,0
 60-70,0,0.98,0,5.89,0,0,1.96,0,0,0,0,0.98,0,1.96,0,0,0,10.8,0,0,0,0,6.87,0,0.98,0,0,0,0
 72-82,0,0,0,1.96,0.98,0.98,1.96,0,0,0,0.98,0,0,5.89,0,0,0,11.78,0.98,0.98,0,0,8.83,0,0,0.98,0,0,0.98
 84-94,0,2.12,0,0,0,0,3.19,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,30.8,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,2.19,0,1.09,1.09,0,0,2.19,1.09,0,0,4.37,0,0,0,0,13.11,0,0,0,1.09,0,1.09
108-118,0,1.53,0.77,0,0.77,0.77,1.53,0.77,0,0,1.53,0,0,0.77,0,0,0,1.53,0,0,0,0,14.55,0,0,0,0.77,0.77,0
120,0,1.96,0,3.92,0,0,0,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,1.96,23.52,1.96,0,0,1.96,0,0
