stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,34.62,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,2,8,2,0,6,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,9,76,0,2,3,1,0,1,0,8,0,0,3,18,0,3,0,0
 24-34,0,0,0,5.75,0.82,0,13.95,0,0,3.28,0,0,0,0.82,0.82,0,0.82,0.82,0.82,24.63,0,0,4.93,112.46,0.82,2.46,7.39,0,0,1.64,0,0,0.82,0,1.64,14.78,0,7.39,0,2.46
 36-46,0,0,0,1.61,0,0,9.67,0,0.81,4.03,0,0,0,0,0,0,0.81,0,0,22.56,0,0,4.03,90.23,0.81,3.22,0.81,0,0,1.61,0,0,0,0,0,24.17,0,2.42,0,0
 48-58,0,0,0,1.15,0,0,9.18,0,1.15,1.72,0,0,1.15,0.57,0.57,0,0.57,0,0,20.08,0,0,8.03,56.81,0,5.16,2.3,0,0,0.57,0.57,0,0,0,0,16.64,0,3.44,0,1.15
 60-70,0,0,0,0.98,0,0,30.43,0,0.98,10.8,0,0,0,0,0,0,0,0,0.98,32.39,0.98,1.96,1.96,81.47,0,7.85,0.98,0,0,0,0,0,0,0.98,0,16.69,0.98,1.96,0,1.96
 72-82,0,0,0,4.91,4.91,0,20.61,0.98,2.94,6.87,0.98,0,0.98,0,0,0.98,0,0,0,34.36,0,0,5.89,75.59,0,6.87,1.96,0,0.98,0.98,0,0,0,0,0,11.78,0,6.87,0.98,0
 84-94,0,0,0,4.25,2.12,0,18.05,2.12,1.06,11.68,0,1.06,1.06,3.19,1.06,2.12,0,1.06,0,30.8,0,2.12,3.19,28.68,0,6.37,0,0,0,5.31,0,0,0,0,0,7.43,2.12,7.43,3.19,2.12
 96-106,0,0,0,4.37,2.19,1.09,16.39,2.19,1.09,10.93,2.19,0,1.09,0,1.09,1.09,1.09,0,1.09,27.32,0,1.09,7.65,50.27,1.09,14.21,3.28,0,2.19,4.37,0,0,1.09,0,0,2.19,1.09,7.65,1.09,0
108-118,0,0,0,3.06,4.6,0,11.49,0,0,13.02,0.77,0,0,2.3,3.06,4.6,0,1.53,0.77,33.7,0.77,0.77,3.06,55.15,0,9.19,4.6,0,0.77,2.3,0,0,0,0,0,3.06,0,3.83,0,2.3
120,0,0,0,3.92,5.88,0,17.64,0,3.92,11.76,0,0,1.96,1.96,1.96,1.96,0,0,0,25.48,0,0,5.88,52.91,1.96,7.84,5.88,0,0,1.96,0,0,0,0,0,1.96,0,1.96,1.96,0
