stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,79.07,3413.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0
  5-6,49.04,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,0,0,1,0,0,4,1,0,11,5,0
 24-34,0,0,0,2.46,0,1.64,0,0,0.82,0,0,12.31,0,0,0,2.46,0,0,0.82,16.42,0.82,0,0,0,2.46,0,0,0,0,0.82,5.75,0
 36-46,0,0,0,0,0,2.42,0,2.42,0,0,0,3.22,0,0,0,4.03,0,0,0,28.2,0.81,0.81,0,0,1.61,0,0,0,0,0,12.09,0
 48-58,0,0,0,0,0,4.02,0,4.02,0,0,0,2.3,0,0,0.57,3.44,0,0.57,0.57,31.56,0.57,1.15,0.57,0,0.57,0,0,0,0,0,4.02,0.57
 60-70,0,0,0,2.94,0,16.69,1.96,8.83,0,0,0,1.96,0,0,0,11.78,0.98,0,3.93,57.91,0.98,0.98,0,0,1.96,0,0,0,0,0,11.78,0
 72-82,0,0,0,2.94,0.98,12.76,0,6.87,0,0.98,0,1.96,0,0,0,10.8,0,1.96,0.98,42.21,0,0,0,0,0.98,0,0,0,0,0,7.85,0
 84-94,0,0,1.06,2.12,1.06,6.37,1.06,5.31,0,0,0,9.56,1.06,0,0,10.62,0,0,0,20.18,0,1.06,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,3.28,0,10.93,2.19,0,0,2.19,2.19,0,0,10.93,0,0,0,30.6,0,1.09,1.09,0,13.11,0,0,0,0,0,5.46,0
108-118,0,0,0.77,2.3,0,6.89,0,3.06,0,0,0,11.49,0,0.77,0,2.3,0.77,0.77,0,13.02,0.77,0.77,1.53,0,2.3,0,0,0,0.77,0,0.77,0
120,0,0,0,5.88,0,3.92,0,0,0,0,5.88,3.92,0,0,0,3.92,0,0,0,7.84,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0
