stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,0.57,0,0,0,0,0.57,1.15,0,2.3,0.57,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,4.91,0,0,0,0,0,0,0,4.91,0,8.83,0,0,0,0.98,0,1.96,0,0,0,0,0,0
 72-82,0,0,0.98,0,3.93,0.98,0,0,0,0,0,0,4.91,0,7.85,0,0,0,0.98,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0,0,0,2.12,0,1.06,0,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,0,1.09,1.09,0,1.09,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0.77,0.77,0,0.77,2.3,0.77,0.77,0,0,1.53,0,0,1.53,0.77,5.36,0,0.77,0,1.53,0,0.77,0,0,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
