stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,13.14,0,0,0,28.92,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,194.52,10.51,0,0,84.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,6.29,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.76,3.15,0,0,97.56,0,0,0,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,9,44,10,0,38,0,0,0,3,3,1,0,0,2,0,0,2,1,28,0,0,16,318,4,1,4,9,0,1,68,2,1,72,106,0,0,1,0,0
 24-34,0,0,0,1.64,5.75,4.1,0,37.76,0,0.82,0,4.1,0,0,0,0,0,0,0.82,0.82,0,28.73,0,0,8.21,290.58,1.64,0.82,6.57,0,0,3.28,0,0.82,0.82,12.31,59.1,0,0,0.82,0,0.82
 36-46,0,0,0,0,3.22,0.81,0,47.53,0,0,0.81,6.45,0,0,0.81,0,0,0,0,1.61,0,13.7,0.81,0,6.45,229.62,1.61,0.81,0.81,0,0,0,0,1.61,0,0,37.87,0,0,0.81,0,0
 48-58,0,0,0,0,6.31,0.57,0,89.51,0,0,1.15,18.36,0.57,0.57,0,0.57,0,0,1.15,0.57,0.57,32.13,0,0.57,10.9,166.4,1.72,1.72,0.57,0,0,3.44,0,0.57,0,0,32.71,0,0.57,1.72,0,1.15
 60-70,0,0,0,0,0,0,0,79.5,0,0.98,0,9.82,0,0,0,0.98,0,0,0.98,0.98,0.98,19.63,0,0.98,3.93,102.08,0,1.96,0.98,0,0,3.93,0,0.98,0,0,13.74,0,0,1.96,0,0
 72-82,0,0,1.96,0,2.94,3.93,0,60.86,0,0,1.96,19.63,0,0,0.98,3.93,0.98,0,1.96,0,0,28.47,0,0,3.93,81.48,0.98,1.96,0.98,0,0,1.96,0,1.96,0,0,6.87,0,0.98,3.93,0,0.98
 84-94,0,0,0,0,10.62,7.43,2.12,46.73,0,0,4.25,18.05,1.06,0,1.06,4.25,1.06,1.06,1.06,3.19,0,22.3,0,0,9.56,44.61,0,2.12,5.31,0,0,12.74,0,1.06,0,0,3.19,0,0,2.12,0,0
 96-106,0,0,1.09,0,4.37,3.28,0,30.6,0,1.09,0,13.11,1.09,0,0,16.39,0,0,2.19,2.19,0,31.69,1.09,0,6.56,51.36,2.19,3.28,3.28,0,1.09,10.93,0,0,0,0,2.19,1.09,0,3.28,1.09,1.09
108-118,0,0,0.77,0,9.19,4.6,0,44.43,0,0.77,0,19.92,3.06,0,0,6.13,0.77,3.83,1.53,0,0,28.34,0,0,11.49,56.68,2.3,3.83,3.06,0,0.77,10.72,0,1.53,0.77,0,3.83,0.77,0,2.3,0.77,0
120,0,0,0,0,9.8,13.72,0,13.72,1.96,0,0,19.6,3.92,0,1.96,3.92,1.96,0,0,0,0,13.72,0,0,3.92,68.59,1.96,3.92,0,0,1.96,3.92,0,0,0,0,1.96,0,0,0,0,1.96
