stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,7,3,0,11,0,0,0,0,1,1,0,0,0,0,0,2,3,0,0,5,84,0,0,0,0,12,0,1,0,0,11,24,0,0,2,0,1
 24-34,0,0,4.93,0.82,0,25.45,0,0,0.82,3.28,0,0.82,1.64,0.82,0,0.82,0,0.82,9.85,0,0,3.28,136.26,1.64,0.82,0,0,16.42,0,0,1.64,0,0.82,34.48,0,0,11.49,0,0.82
 36-46,0,0,3.22,0,0,20.14,0,0,0,4.83,0,1.61,1.61,0,0,0.81,0,0.81,4.83,0,0,0.81,177.25,2.42,2.42,0.81,0,11.28,0,0,1.61,0,0,48.34,0,0,10.47,0,0.81
 48-58,0,0,3.44,0.57,0,39.59,0,0,1.15,8.61,0,1.15,2.3,0,1.15,0,0,2.3,9.75,0.57,0,0,184.19,0.57,1.72,0.57,0,4.59,0.57,0,0,0,0,26.97,0,0,7.46,0,1.15
 60-70,0,0,3.93,0,0,70.67,0,1.96,0.98,17.67,0,0,4.91,0,0,0,0,0,12.76,0,0,0.98,256.18,1.96,0.98,0,0,10.8,0,0,1.96,0,0,32.39,0,0.98,7.85,0,1.96
 72-82,0.98,0,9.82,0.98,0,57.92,0,5.89,0.98,17.67,0.98,0,8.83,1.96,0.98,0.98,0,0,33.38,0.98,0,0,234.62,0,1.96,0.98,0,9.82,0,0,0,0,0,14.72,0,0.98,8.83,0.98,2.94
 84-94,1.06,0,22.3,2.12,0,81.78,0,4.25,0,21.24,2.12,1.06,19.12,0,2.12,0,0,1.06,26.55,1.06,1.06,3.19,159.31,1.06,1.06,0,0,35.05,0,0,1.06,0,0,12.74,2.12,4.25,23.36,3.19,1.06
 96-106,2.19,0,28.41,1.09,0,76.5,1.09,5.46,0,18.58,4.37,0,18.58,1.09,1.09,1.09,0,0,25.14,1.09,1.09,0,120.21,4.37,2.19,1.09,0,33.88,0,0,0,0,0,14.21,1.09,6.56,15.3,1.09,0
108-118,0,0,31.4,1.53,0.77,75.83,0,8.43,0,11.49,3.83,0,13.79,2.3,1.53,0.77,2.3,0,20.68,0,0.77,2.3,130.21,6.89,0,0.77,1.53,22.98,0,0,1.53,0.77,0,2.3,1.53,0.77,9.19,0,0.77
120,1.96,0,39.2,0,0,29.4,0,7.84,0,19.6,5.88,0,25.48,1.96,0,0,1.96,0,7.84,0,0,1.96,145.02,7.84,1.96,1.96,1.96,21.56,0,0,1.96,0,0,5.88,1.96,3.92,7.84,0,0
