stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,13,5,9,0,0,0,4,3,0,0,0,0,0,0,12,0,0,7,106,3,0,1,3,0,0,1,16,0,0,16,43,0,0,0,0,0
 24-34,0,1.64,6.57,1.64,11.49,0,2.46,0.82,0.82,2.46,0.82,0,0,0,0,0,20.52,0,0,13.13,158.43,0.82,0.82,4.93,0,0,1.64,0,0.82,0.82,0,4.1,37.76,0,0,2.46,0,0
 36-46,0,0,4.03,0.81,7.25,0,0,0,8.06,0,0,0,0,0,0,0,8.06,0,0,3.22,72.51,0,0,1.61,0,0,0.81,0,0,0,0,0,10.47,0,0,1.61,0,0
 48-58,0,0,5.74,0,17.21,0,0,1.15,7.46,0,0,0,0,0,0,0.57,21.23,0,1.15,5.16,105.58,0,0,1.15,0,0,0,0,0,0,0,0,9.75,0,0,0.57,0,0.57
 60-70,0,0,0.98,0.98,35.33,0,1.96,1.96,6.87,0,0,0,0,0,0,0,19.63,0,0,4.91,131.52,0,0,2.94,0,0,0,0,0,0,0,0,16.69,0.98,0,2.94,0,1.96
 72-82,0.98,0,4.91,0.98,25.52,0,0,0.98,16.69,0.98,3.93,0,0.98,0.98,0,0,30.43,0,1.96,1.96,109.95,0,0,0.98,0,0,0.98,0,0,0,0.98,0,6.87,0,0.98,2.94,0,0
 84-94,1.06,0,6.37,0,16.99,1.06,2.12,2.12,4.25,2.12,0,0,0,0,0,1.06,27.61,0,1.06,6.37,64.78,0,0,0,0,0,0,0,0,0,1.06,0,4.25,0,1.06,1.06,1.06,0
 96-106,0,0,9.84,1.09,12.02,0,3.28,2.19,8.74,1.09,4.37,1.09,1.09,1.09,1.09,0,30.6,0,3.28,5.46,90.71,0,0,3.28,0,0,1.09,0,0,0,0,0,2.19,0,4.37,2.19,1.09,3.28
108-118,0,0.77,4.6,0,4.6,0,1.53,0.77,2.3,0,0,0,0.77,0,0.77,0,16.85,0,0.77,5.36,70.47,0,0,0.77,0,0,0,0,0,0,0,0,3.83,0,0,1.53,0,0
120,1.96,0,7.84,0,7.84,0,3.92,1.96,3.92,0,0,0,1.96,0,0,0,23.52,1.96,0,5.88,76.43,0,0,0,0,1.96,0,0,0,0,0,0,9.8,0,1.96,5.88,0,0
