stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,60.46,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,34.62,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,33,0,0,0,0,1,0,5,45,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,4.1,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,0,0,1.64,157.6,0.82,2.46,0,0,2.46,0.82,1.64,101.79,0,0,2.46,0,0
 36-46,0,0,3.22,0,1.61,0,0,40.28,0,0,0,2.42,0,0,0,0,0,0,0,2.42,0,0,0.81,235.26,0,8.06,0.81,0,0,0,0,67.68,0,0,0.81,0,0
 48-58,0,0,1.15,0,1.15,0,0,70.58,0,0,0.57,5.74,0,0,0,0,0,0,0,5.16,0,0,1.15,282.31,0,4.02,0,0,0,0,0,40.17,0,0,0.57,0,0.57
 60-70,0,0,1.96,0,1.96,0,0,106.99,0,1.96,0.98,10.8,0,0,0,0,0,0,0.98,10.8,0,0,1.96,472.11,0.98,7.85,0,0,0.98,0,0,38.28,0,0,0.98,0,0
 72-82,0,0,5.89,0,3.93,0,0,122.71,0.98,1.96,0,21.6,0.98,0,0.98,0.98,0,0.98,0,14.72,1.96,0.98,1.96,560.53,0,12.76,0.98,0,0.98,0.98,0,20.61,0,0.98,1.96,0.98,1.96
 84-94,0,0,2.12,0,4.25,0,0,111.51,1.06,0,1.06,11.68,0,0,0,0,2.12,1.06,0,15.93,0,0,3.19,303.74,1.06,3.19,1.06,0,4.25,0,0,11.68,1.06,0,3.19,1.06,0
 96-106,0,0,2.19,0,7.65,2.19,1.09,157.37,0,0,1.09,15.3,3.28,0,0,3.28,0,1.09,0,20.76,0,1.09,1.09,277.58,0,14.21,0,0,6.56,1.09,0,9.84,0,0,0,0,0
108-118,0,0,3.83,0,11.49,2.3,2.3,141.7,0,1.53,1.53,9.19,3.83,0,0,1.53,0,0,0,13.02,0.77,1.53,2.3,282.64,0.77,12.26,0.77,0,5.36,0,0,4.6,3.06,0.77,2.3,2.3,0.77
120,0,0,1.96,0,17.64,1.96,0,109.75,0,0,0,11.76,0,0,0,0,1.96,0,1.96,19.6,0,1.96,3.92,315.53,1.96,5.88,0,0,5.88,0,0,11.76,0,0,1.96,1.96,0
