stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,6.29,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,2.46,0,0,0,2.46,0,0,9.03,0,0,0,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,6.45,0,0.81,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,12.05,0,0.57,0,2.3,4.59,0,2.3,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,1.96,0.98,2.94,0,0,0,1.96,4.91,0.98,2.94,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,3.93,3.93,0.98,0,0.98,2.94,26.5,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,1.06,21.24,6.37,0,0,0,0,16.99,0,1.06,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,1.09,0,37.16,1.09,0,1.09,1.09,4.37,24.04,0,0,0,0,0,1.09,0,0,0,4.37,0,1.09
108-118,0.77,0,2.3,1.53,0.77,0,0,39.83,0,0,0,0,2.3,14.55,0,0.77,1.53,0,0,1.53,0,0,0,0.77,0.77,0
120,0,0,0,0,3.92,1.96,0,23.52,0,0,0,1.96,0,3.92,0,3.92,1.96,0,0,0,0,0,0,0,1.96,0
