stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,94,0,1,9,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,4.93,0,0,0,0,4.93,0,0,2.46,60.74,0,0.82,38.58,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,1.61,10.47,0,0,0.81,0,5.64,0,0,1.61,35.45,0,0,22.56,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,1.72,0,1.15,9.18,0,0,0,0,15.49,0,0,1.72,41.31,0,0,13.77,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,2.94,0,0,0.98,0,6.87,11.78,0,0,0,0,34.35,0,0.98,4.91,33.37,0,0,9.82,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,4.91,0,0,5.89,0,7.85,19.63,0,0.98,0,1.96,50.06,0,0,1.96,49.08,0,0,24.54,0,0,0.98,0.98,0,1.96,0,0.98
 84-94,0,0,0,0,11.68,0,0,9.56,0,1.06,22.3,1.06,0,3.19,0,35.05,0,0,1.06,46.73,0,0,19.12,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,7.65,0,1.09,8.74,3.28,4.37,16.39,0,0,6.56,0,27.32,1.09,1.09,5.46,37.16,0,0,29.51,0,1.09,1.09,2.19,0,0,1.09,4.37
108-118,0,0,0,0,5.36,0,0,3.83,0.77,3.06,22.98,0.77,0,3.83,0,42.13,0,1.53,3.83,34.47,0.77,0,26.81,0,0.77,0,0,0,0.77,0,0.77
120,1.96,0,0,0,9.8,1.96,0,1.96,1.96,3.92,25.48,5.88,0,1.96,0,21.56,0,0,1.96,54.87,1.96,0,21.56,0,1.96,0,0,1.96,1.96,1.96,1.96
