stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites
  3-4,39.53,1686.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0
  5-6,61.3,888.8,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,24.52,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,84.12,5.26,0,0,36.8,2.63,5.26,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,56.65,0,0,0,25.18,3.15,0,3.15
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0.81,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,1.09,0,4.37,0,0
108-118,0,0,0.77,0,2.3,0,0,0,0,0.77,0.77,0,0.77,0,1.53,0.77,0,1.53,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
