stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,39,0,0,0,0,1,1,0,32,0,0,0,0,0
 24-34,0,1.64,0,4.1,0,4.1,0,0,0,1.64,0,0,0,0,4.1,0,0,0,0.82,5.75,0,0,0,108.35,0,1.64,1.64,0.82,0,0,0,68.95,0,0,0.82,0,0
 36-46,0,2.42,0,0.81,0,8.06,0,0,0,16.11,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,234.45,0,4.03,1.61,0.81,0,0,0,115.21,0,0,0,0,0
 48-58,0,0.57,0,2.87,0,33.28,0.57,0,0,26.4,0,0,0,0,0,0,0,0.57,0,5.16,1.72,0,1.72,413.14,0,1.15,4.59,1.15,0,0,0.57,102.14,0,0,1.15,0,0.57
 60-70,0,0.98,0,1.96,0.98,94.23,0,0,0.98,42.21,0,0,0.98,0,0.98,0,0,0.98,0.98,14.72,0.98,0,4.91,1089.49,0.98,2.94,3.93,0.98,0,0,0,130.54,0,0.98,0.98,0,0.98
 72-82,0,1.96,0,4.91,2.94,193.39,0.98,0,0.98,49.08,3.93,0.98,0,0,0.98,0.98,0,0,0,58.9,5.89,0.98,1.96,1247.69,0,3.93,12.76,1.96,0,0,0,112.89,1.96,0,1.96,0.98,4.91
 84-94,0,0,0,13.81,1.06,144.44,0,0,1.06,40.36,3.19,0,1.06,3.19,2.12,1.06,0,1.06,0,33.99,0,0,1.06,704.13,1.06,4.25,9.56,2.12,0,0,0,49.92,0,0,1.06,0,0
 96-106,0,0,0,16.39,1.09,124.58,0,2.19,0,51.36,0,0,1.09,1.09,1.09,0,1.09,2.19,0,33.88,5.46,0,1.09,676.47,1.09,7.65,12.02,9.84,0,0,0,32.79,1.09,0,1.09,0,0
108-118,0,0.77,0,7.66,1.53,118.72,0,0,0.77,33.7,0.77,0,0.77,2.3,3.06,0,0,0,0,16.09,0.77,0.77,0.77,822.64,0,8.43,12.26,5.36,0,0,0,18.38,0.77,0,1.53,0,0
120,0,0,0,15.68,1.96,117.59,0,0,0,50.95,1.96,0,0,1.96,1.96,0,3.92,0,0,7.84,0,1.96,0,940.7,0,7.84,9.8,1.96,0,0,0,31.36,1.96,0,1.96,0,0
