stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,21,5,13,0,0,2,0,1,2,0,0,0,0,7,0,5,103,3,0,2,3,0,5,17,0,13,29,0,2,0,0
 24-34,0,5.75,1.64,20.52,0,0,0,0,0,0,0,0,0,0,10.67,0,3.28,151.86,0.82,0,1.64,0,0,8.21,0,0.82,0,30.37,0,2.46,0,0
 36-46,0,0,0,35.45,0,0,2.42,0,0,0,0,0,0.81,0.81,10.47,0.81,1.61,108.77,0,0.81,0,0,0,4.83,0,0,0,29.81,0,0,0,0
 48-58,0,0,0,52.79,0,0,4.02,0,0,0,0,0.57,0,0,8.03,0.57,3.44,68.86,0,0.57,1.15,0,0,2.87,0,0,0,12.62,0,0,0,0.57
 60-70,0,2.94,0,41.22,0,0.98,2.94,0,0,0,0,0,0,0,13.74,0.98,0.98,49.08,0.98,0,0,0,0.98,0,0,0,0,5.89,0,0,0,0
 72-82,0,1.96,0.98,22.58,0,0,7.85,0,0,0,0,0,0,0,7.85,0,1.96,34.36,0,0,0.98,0,0,0,0,0.98,0,3.93,0.98,0,0,0
 84-94,0,2.12,0,18.05,0,2.12,4.25,1.06,1.06,0,0,0,0,0,14.87,2.12,3.19,15.93,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,1.09,2.19,0,13.11,1.09,0,2.19,0,0,0,1.09,0,0,0,4.37,0,0,15.3,0,1.09,0,0,0,0,0,0,0,0,1.09,0,2.19,0
108-118,0,0.77,0.77,14.55,0,0.77,2.3,0.77,0,0,0.77,0,0.77,0.77,7.66,0,0.77,19.92,0,0.77,0.77,0,0,0,0,0,0,0,0,1.53,0,0
120,0,1.96,0,19.6,0,1.96,9.8,0,0,0,0,0,0,0,9.8,1.96,1.96,29.4,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
