stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,14,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,17,14,1,0,0,0,0,0
 24-34,0,0,110.82,0.82,0,4.1,131.34,31.19,0,0,0,0.82,0,0.82,0,0,0.82,0,26.27,0,0,18.88,96.04,0,0.82,0.82,0,5.75,0,96.04,32.83,9.85,0,0,2.46,0,0.82
 36-46,0,0,143.41,0,0,10.47,287.62,49.95,0.81,4.83,0,0.81,0,0,0,0,0,0.81,23.36,2.42,0,7.25,151.47,0.81,0,0.81,0,12.09,0,111.18,2.42,19.34,0,0,4.03,0,0
 48-58,0,0,172.72,0.57,0,36.15,211.16,103.28,1.15,12.05,0.57,0.57,0.57,0.57,0,0.57,0,1.15,35.58,2.3,0.57,10.9,208.29,0,0.57,0,0,21.23,0,96.4,0,18.94,0,0,1.72,0,3.44
 60-70,0,2.94,269.92,0.98,0,26.5,104.04,148.21,0.98,8.83,0.98,0.98,0,0.98,0,0,0,0.98,22.58,2.94,0,9.82,224.77,0,2.94,0,0.98,32.39,1.96,38.28,0,17.67,0,0.98,0.98,0,0.98
 72-82,0,10.8,346.53,4.91,0,44.17,54.97,156.08,2.94,17.67,6.87,1.96,0,1.96,1.96,0,0,0.98,52.03,6.87,0.98,7.85,327.88,0.98,3.93,0,0.98,77.55,0.98,13.74,0,7.85,0.98,4.91,0.98,2.94,1.96
 84-94,0,5.31,728.56,5.31,0,33.99,77.53,354.72,1.06,11.68,24.43,2.12,1.06,5.31,0,0,0,0,27.61,14.87,2.12,4.25,187.98,1.06,8.5,1.06,0,226.21,0,26.55,0,7.43,6.37,2.12,0,2.12,0
 96-106,0,14.21,1031.65,8.74,5.46,42.62,49.18,410.91,3.28,15.3,33.88,5.46,3.28,8.74,1.09,2.19,5.46,0,39.34,26.23,1.09,8.74,216.38,1.09,13.11,4.37,2.19,267.75,2.19,31.69,0,6.56,2.19,4.37,7.65,3.28,4.37
108-118,0,8.43,1325.88,6.13,1.53,31.4,59.75,580.6,3.83,16.09,43.66,1.53,2.3,6.13,1.53,0.77,2.3,1.53,42.89,13.79,3.06,7.66,221.36,2.3,16.85,2.3,0.77,471.83,0.77,28.34,0,1.53,6.13,1.53,2.3,1.53,0.77
120,1.96,9.8,983.81,7.84,1.96,31.36,37.24,419.39,1.96,15.68,43.12,0,1.96,1.96,0,1.96,1.96,0,37.24,21.56,0,7.84,315.53,5.88,5.88,1.96,1.96,292.01,3.92,13.72,0,11.76,0,1.96,0,0,1.96
