stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,8,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,1,1,28,0,0,0,0,0
 24-34,0,0,0.82,7.39,1.64,0,2.46,0,0,0,4.93,1.64,0,0,0,0,0,0,3.28,3.28,0,1.64,187.16,0,9.03,0,0,0,0.82,0,0,0,104.25,0,0,1.64,0,1.64
 36-46,0,0,0,0.81,0.81,0,9.67,0,0,0,4.03,0,0,0,0,0,0.81,0,0,2.42,0,0,527.71,0.81,8.06,0,0,0,1.61,0,0,0,175.64,0,0,0,0,0
 48-58,0,0,0.57,0,3.44,0,65.41,0,0,0,9.18,0.57,0,0,0,0.57,0.57,0,5.74,12.62,1.72,2.87,635.2,0,9.75,1.15,0,0,1.15,0,0,0,160.09,0,0,1.15,0,0.57
 60-70,0,0,0,0,3.93,1.96,289.55,0,0,0.98,16.69,0,0,0.98,0,0.98,0,0,1.96,8.83,0,1.96,1029.62,0.98,9.82,0,0,0,0.98,0,0,0,159.99,0,0,0,0,0
 72-82,0,0,0.98,0,8.83,3.93,510.46,0.98,0.98,0.98,34.36,0.98,1.96,0.98,0,0,0,0,0.98,15.71,0.98,0.98,1329.17,0,17.67,2.94,0,0.98,0.98,0,0,0,130.56,0,3.93,6.87,0,0
 84-94,0,0,1.06,0,5.31,0,314.36,0,1.06,1.06,28.68,4.25,0,3.19,0,1.06,0,1.06,3.19,13.81,0,2.12,764.67,1.06,9.56,5.31,0,0,1.06,0,0,1.06,63.72,0,2.12,4.25,1.06,0
 96-106,0,0,1.09,0,9.84,4.37,283.05,0,0,0,42.62,2.19,0,3.28,0,0,0,2.19,3.28,17.49,1.09,0,661.17,0,17.49,7.65,0,1.09,2.19,0,0,0,40.44,1.09,0,3.28,0,1.09
108-118,0,0,0.77,0,9.96,1.53,227.49,0.77,0,0,32.94,1.53,0,0.77,0,0,0,0,2.3,15.32,0.77,2.3,824.94,1.53,9.96,3.06,0,0.77,5.36,0,0,0,28.34,0,0.77,2.3,0,0.77
120,0,0,0,0,5.88,1.96,221.46,1.96,1.96,0,48.99,5.88,1.96,0,3.92,0,1.96,1.96,0,17.64,1.96,3.92,995.57,1.96,15.68,0,0,0,3.92,0,1.96,0,19.6,0,0,7.84,0,0
