stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,4.1,0,0,1.64,8.21,0,0,0,0.82,1.64,4.1,0,1.64,0,0
 36-46,0,0,4.83,0,0.81,0,0,0,0.81,0,0.81,0,22.56,0,0,0,1.61,0,5.64,0,0.81,0,0
 48-58,0,0.57,8.03,0,0.57,0.57,0,0.57,2.3,0,0,0.57,28.69,0,0,0,0.57,0,6.31,0,0,0,0.57
 60-70,0,0,1.96,0,1.96,0,0,0,4.91,0,0,0,42.21,0,0,0,0.98,0,7.85,0,0,0,0.98
 72-82,0,0,6.87,0,0,0,0,0,2.94,0,0,0,16.69,0,0.98,0.98,0,0,0.98,0,0,0,0
 84-94,0,1.06,2.12,0,0,0,0,0,2.12,1.06,0,0,16.99,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,4.37,1.09,1.09,0,0,0,4.37,0,0,0,12.02,0,0,1.09,1.09,0,1.09,1.09,0,0,1.09
108-118,0,0,3.83,0,3.06,0,0,0,5.36,0,0.77,0,16.85,0,1.53,0,0.77,0,0,0,0,0.77,0.77
120,1.96,1.96,3.92,0,1.96,0,1.96,0,3.92,0,0,0,13.72,1.96,0,0,0,0,0,0,0,0,0
