stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,neural,periderm,slow.muscle,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0.81,0
 48-58,0,0,1.15,0.57,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,8.83,0,0,0
 72-82,0,0,1.96,0.98,0,0.98,0,0,0.98,0,0,0,1.96,20.61,0,0,0.98
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,1.06,0,0,0,39.3,0,0,0
 96-106,0,0,0,4.37,3.28,1.09,1.09,1.09,3.28,0,0,3.28,3.28,157.37,1.09,0,1.09
108-118,0,0,0,2.3,2.3,1.53,0,0,0,0,0.77,0,0,98.81,0,0,0
120,0,5.88,0,1.96,1.96,5.88,0,0,0,0,0,1.96,0,76.43,0,0,0
