stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,15.77,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,135.32,15.73,0,0,6.29,0,12.59,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,7,127,8,0,23,0,0,0,4,4,0,1,0,3,3,0,0,32,31,0,0,13,70,53,2,12,1,0,55,0,15,2,5,21,66,0,0,4,0,56
 24-34,0,4.93,2.46,41.04,2.46,0,64.03,0,9.03,2.46,4.1,2.46,0,7.39,0.82,9.85,6.57,0,0.82,106.71,28.73,2.46,0.82,8.21,200.29,18.88,8.21,7.39,0,0.82,148.57,0,0.82,9.03,4.1,6.57,132.16,0,0,26.27,0,166.63
 36-46,0,0,0,23.36,0.81,0,42.7,1.61,6.45,1.61,10.47,0.81,2.42,8.06,0,5.64,16.92,0.81,0.81,86.21,12.09,3.22,0.81,7.25,236.87,10.47,14.5,4.03,0,0,139.38,0,0,3.22,2.42,0,116.82,0,0,13.7,0,109.57
 48-58,0,0.57,0,18.36,1.15,0,181.32,2.87,9.18,3.44,30.41,0,4.59,6.31,2.87,1.72,34.43,1.15,0.57,72.3,30.41,0.57,2.3,2.87,293.21,1.72,5.16,5.16,0,0.57,90.09,0.57,0,4.59,6.89,0,90.09,0,0,14.92,0,118.2
 60-70,0,0,0,27.48,0,0,582.04,6.87,5.89,7.85,62.82,1.96,5.89,3.93,3.93,0.98,75.58,0.98,0,38.28,36.32,0.98,0.98,0.98,408.31,0,14.72,7.85,0,0,88.34,0,0,3.93,7.85,0,78.52,0.98,0,30.43,0,73.61
 72-82,0,4.91,0,50.06,2.94,0,873.68,2.94,8.83,6.87,111.91,2.94,1.96,1.96,9.82,5.89,68.72,3.93,1.96,49.08,55.95,0,2.94,2.94,535.01,0.98,23.56,21.6,0,0.98,66.75,0,0,5.89,7.85,0,47.12,3.93,0.98,63.81,3.93,61.84
 84-94,0,2.12,0,88.15,5.31,0,762.54,6.37,11.68,2.12,94.52,6.37,0,6.37,13.81,11.68,103.02,3.19,2.12,84.96,39.3,5.31,2.12,9.56,309.05,0,24.43,29.74,0,0,197.54,0,0,12.74,8.5,0,35.05,14.87,1.06,46.73,3.19,43.54
 96-106,0,3.28,0,87.43,9.84,3.28,661.17,6.56,9.84,2.19,102.73,8.74,0,4.37,18.58,7.65,96.17,9.84,5.46,62.29,43.71,3.28,2.19,3.28,318.02,1.09,37.16,39.34,0,2.19,190.16,0,0,10.93,14.21,0,22.95,22.95,2.19,71.04,3.28,39.34
108-118,0,1.53,0.77,97.28,0,0,543.07,4.6,14.55,4.6,95.75,15.32,0,0.77,10.72,11.49,141.7,3.83,2.3,75.06,26.81,3.06,0.77,6.89,282.64,2.3,19.15,41.36,0,3.06,124.85,0,0,6.89,16.09,0,20.68,41.36,1.53,44.43,3.06,34.47
120,0,3.92,0,125.43,3.92,1.96,442.91,11.76,17.64,1.96,68.59,7.84,0,5.88,19.6,13.72,62.71,9.8,0,27.44,21.56,1.96,0,5.88,391.96,1.96,31.36,29.4,0,1.96,131.31,0,0,9.8,0,0,23.52,11.76,0,39.2,1.96,19.6
