stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,12,1,10,0,13,0,0,1,0,4,0,0,7,177,2,2,7,5,0,1,6,1,12,74,0,0,1,0,0
 24-34,0,0.82,0.82,0.82,6.57,0,4.1,0,0,0,0,5.75,0,0,2.46,60.74,0,2.46,0.82,0,0,0.82,0,0.82,0,21.34,0,0,0.82,0,0
 36-46,0,0,0.81,0,31.42,0,3.22,0,0,0,0,5.64,0,0,1.61,64.45,0.81,4.03,0,0,0,0.81,0,0.81,0,15.31,0,0,0,0,0
 48-58,0,0,1.72,0,11.48,0,1.72,0,0,0,0.57,1.15,0.57,0,2.3,17.21,0,1.72,0.57,0,0,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,3.93,0,0.98,0.98,0,0,0,1.96,0,0,0,19.63,0,0,0,0,0,0,0,0,0,3.93,0,0,0.98,0,0
 72-82,0.98,0,0,0.98,1.96,0,0.98,0,0,0,0.98,2.94,0,0,0.98,8.83,0,3.93,0.98,0,0,0,0,0,0,2.94,0,0,0.98,0,0.98
 84-94,0,0,0,0,5.31,0,0,0,0,0,0,5.31,0,1.06,1.06,9.56,0,2.12,0,0,0,1.06,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,1.09,0,0,0,0,3.28,0,0,0,7.65,0,4.37,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,1.53,0,2.3,0.77,1.53,0,0.77,0.77,0,4.6,0,0,0,8.43,0,4.6,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,0,3.92,0,3.92,0,0,0,0,5.88,0,0,0,7.84,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
