stage,axial,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0.57,0,0,0,0,24.1,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0.57
 60-70,0,9.82,0,0,0,0,0,0,16.69,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,47.12,0,2.94,0.98,1.96,0,0,22.58,0.98,0,0.98,0,0,3.93,0,0,0,0,5.89,0,0,0
 84-94,0,76.47,0,0,5.31,0,10.62,0,25.49,1.06,0,1.06,0,1.06,0,0,0,1.06,0,16.99,0,1.06,0
 96-106,0,145.35,1.09,3.28,6.56,0,34.97,0,42.62,5.46,1.09,3.28,1.09,0,8.74,0,1.09,0,0,18.58,1.09,0,0
108-118,0.77,180,0,2.3,16.85,1.53,59.75,0,20.68,2.3,0,3.06,0.77,0,3.06,0.77,0,0.77,0,62.04,0,1.53,0
120,0,113.67,0,1.96,9.8,1.96,21.56,0,13.72,3.92,0,3.92,5.88,0,7.84,0,0,0,0,17.64,0,1.96,0
